iter	Passed	Remaining
0	262	525201
1	362	362546
2	461	307130
3	561	280339
4	656	261893
5	740	246160
6	840	239247
7	938	233620
8	1033	228629
9	1124	223851
10	1333	241092
11	1442	238956
12	1541	235588
13	1638	232460
14	1739	230157
15	1847	229047
16	1951	227677
17	2068	227743
18	2185	227861
19	2306	228336
20	2408	226973
21	2506	225334
22	2588	222485
23	2698	222212
24	2797	221002
25	2888	219285
26	2976	217508
27	3065	215872
28	3147	213916
29	3236	212536
30	3336	211897
31	3430	210983
32	3518	209741
33	3606	208542
34	3700	207747
35	3786	206598
36	3880	205892
37	3978	205419
38	4065	204444
39	4159	203796
40	4383	209429
41	4493	209503
42	4595	209133
43	4695	208735
44	4793	208248
45	4891	207763
46	4984	207109
47	5083	206744
48	5179	206212
49	5285	206134
50	5392	206080
51	5486	205548
52	5583	205106
53	5672	204437
54	5767	203969
55	5866	203668
56	5958	203099
57	6061	202968
58	6158	202596
59	6262	202491
60	6366	202363
61	6468	202179
62	6563	201787
63	6682	202135
64	6782	201911
65	6913	202590
66	7243	208989
67	7461	211996
68	7674	214770
69	7818	215558
70	7991	217126
71	8153	218333
72	8315	219513
73	8433	219506
74	8541	219237
75	8640	218744
76	8748	218491
77	8859	218297
78	8969	218101
79	9080	217937
80	9181	217531
81	9278	217015
82	9383	216715
83	9481	216267
84	9575	215725
85	9671	215241
86	9878	217212
87	10013	217560
88	10114	217171
89	10203	216545
90	10299	216055
91	10410	215900
92	10508	215489
93	10617	215278
94	10717	214906
95	10817	214547
96	10905	213945
97	11003	213561
98	11088	212922
99	11178	212400
100	11274	211978
101	11365	211490
102	11460	211077
103	11547	210517
104	11737	211834
105	11826	211308
106	11933	211124
107	12021	210607
108	12106	210026
109	12204	209692
110	12308	209471
111	12396	208966
112	12489	208560
113	12570	207971
114	12668	207653
115	12758	207220
116	12859	206967
117	13028	207795
118	13258	209566
119	13447	210676
120	13573	210781
121	13680	210591
122	13773	210187
123	13870	209846
124	13979	209688
125	14079	209404
126	14182	209157
127	14283	208890
128	14396	208809
129	14520	208872
130	14627	208691
131	14728	208430
132	14832	208215
133	14936	207996
134	15037	207734
135	15142	207537
136	15243	207288
137	15335	206915
138	15443	206767
139	15540	206464
140	15600	205687
141	15666	204992
142	15752	204568
143	15843	204208
144	15928	203774
145	16024	203493
146	16114	203126
147	16195	202657
148	16296	202454
149	16394	202197
150	16479	201796
151	16583	201623
152	16681	201376
153	16799	201379
154	16896	201119
155	16962	200506
156	17057	200239
157	17156	200013
158	17270	199968
159	17378	199853
160	17494	199834
161	17595	199629
162	17699	199468
163	17807	199353
164	17863	198666
165	17971	198552
166	18071	198349
167	18172	198169
168	18276	198013
169	18380	197856
170	18491	197786
171	18587	197548
172	18693	197420
173	18802	197315
174	18905	197158
175	19009	197011
176	19117	196902
177	19210	196641
178	19361	196970
179	19474	196908
180	19574	196714
181	19667	196457
182	19762	196224
183	19858	195998
184	19951	195743
185	20040	195451
186	20132	195189
187	20226	194945
188	20328	194783
189	20433	194651
190	20528	194426
191	20605	194036
192	20685	193674
193	20764	193305
194	20844	192940
195	20926	192612
196	21010	192296
197	21093	191974
198	21174	191638
199	21274	191470
200	21404	191575
201	21499	191370
202	21579	191029
203	21656	190658
204	21737	190337
205	21817	190004
206	21902	189712
207	21981	189381
208	22060	189044
209	22144	188758
210	22234	188519
211	22339	188406
212	22418	188082
213	22494	187737
214	22572	187400
215	22653	187100
216	22733	186793
217	22812	186473
218	22895	186197
219	22975	185893
220	23054	185583
221	23240	186129
222	23340	185990
223	23421	185697
224	23503	185418
225	23605	185290
226	23685	184997
227	23748	184575
228	23840	184376
229	23924	184115
230	24002	183808
231	24089	183580
232	24178	183363
233	24267	183145
234	24351	182895
235	24432	182625
236	24513	182353
237	24594	182080
238	24670	181774
239	24743	181454
240	24828	181218
241	24907	180942
242	24988	180677
243	25075	180464
244	25159	180221
245	25246	180006
246	25334	179806
247	25423	179602
248	25509	179386
249	25599	179196
250	25684	178976
251	25770	178758
252	25869	178631
253	25952	178399
254	26035	178164
255	26119	177937
256	26206	177736
257	26293	177532
258	26371	177266
259	26452	177030
260	26535	176799
261	26614	176550
262	26695	176309
263	26775	176066
264	26858	175844
265	26944	175648
266	27024	175409
267	27110	175209
268	27197	175013
269	27287	174839
270	27366	174602
271	27451	174396
272	27529	174151
273	27614	173952
274	27686	173671
275	27764	173429
276	27846	173213
277	27927	172988
278	28012	172796
279	28110	172681
280	28197	172499
281	28289	172343
282	28371	172133
283	28454	171926
284	28537	171726
285	28609	171457
286	28690	171243
287	28768	171013
288	28851	170814
289	28929	170582
290	29013	170391
291	29095	170188
292	29171	169953
293	29267	169831
294	29349	169629
295	29431	169429
296	29516	169245
297	29597	169042
298	29678	168838
299	29756	168619
300	29841	168438
301	29928	168274
302	30015	168107
303	30099	167921
304	30181	167732
305	30272	167585
306	30369	167479
307	30455	167309
308	30537	167115
309	30611	166883
310	30691	166679
311	30773	166493
312	30855	166302
313	30947	166170
314	31031	165992
315	31108	165779
316	31194	165613
317	31282	165463
318	31364	165276
319	31442	165073
320	31532	164933
321	31609	164721
322	31691	164538
323	31781	164399
324	31873	164269
325	31992	164278
326	32091	164188
327	32197	164127
328	32296	164036
329	32393	163932
330	32499	163872
331	32618	163877
332	32706	163728
333	32807	163646
334	32908	163558
335	32995	163405
