income,name_email_similarity,prev_address_months_count,current_address_months_count,customer_age,days_since_request,intended_balcon_amount,payment_type,zip_count_4w,velocity_6h,velocity_24h,velocity_4w,bank_branch_count_8w,date_of_birth_distinct_emails_4w,employment_status,credit_risk_score,email_is_free,housing_status,phone_home_valid,phone_mobile_valid,bank_months_count,has_other_cards,proposed_credit_limit,foreign_request,source,session_length_in_minutes,device_os,keep_alive_session,device_distinct_emails_8w,device_fraud_count,month
0.2,0.4864092641423496,-1,97,40,0.0070713498638747,36.08050904333863,AA,2614,8898.187946766508,6028.91441259609,5534.990681796247,17,15,CA,122,0,BB,1,1,25,1,200.0,0,INTERNET,3.295110036078232,linux,0,1,0,1
0.7000000000000001,0.632256943456746,-1,388,30,0.012993044140181,22.187860302434824,AA,1085,9318.71135511865,5335.93342828165,5634.262137321602,20,12,CA,93,0,BE,0,1,1,0,200.0,0,INTERNET,4.695805571339137,other,1,1,0,1
0.8,0.1874964430302338,-1,112,50,0.0532484733894093,-1.7048476450411414,AD,1199,9986.45794550458,7309.220172766102,6661.756717705598,544,5,CC,114,1,BC,0,1,1,0,200.0,0,INTERNET,7.084484894793887,linux,1,1,0,0
0.5,0.6839535762540018,-1,23,40,0.0147866218861748,-1.2416716283192564,AB,1192,3323.248137660576,6492.008545637385,5490.222886435738,2,8,CA,88,1,BC,0,1,31,0,200.0,0,INTERNET,36.26033241002187,other,0,1,0,2
0.3,0.1144750111655667,-1,304,50,0.008741247868601,-0.9770757096056564,AB,1171,11119.756405762237,6665.35975959665,5553.573202589959,44,3,CC,47,1,BB,1,0,28,1,200.0,0,INTERNET,30.764888757746352,linux,1,1,0,1
0.1,0.7036067443494841,-1,39,20,0.0154245123826339,94.03133547543224,AD,730,7693.536808211672,6506.846407565315,5989.778292446606,8,8,CA,153,0,BD,0,1,5,0,200.0,0,INTERNET,5.187634096968012,other,0,1,0,0
0.7000000000000001,0.4360105646387135,-1,75,30,0.0006991304263375,-0.8685924399571079,AC,1013,3692.213829158744,2137.3840886123057,3087.063169290919,0,9,CB,74,1,BC,0,1,-1,0,200.0,0,INTERNET,4.5432413819095245,linux,1,1,0,7
0.1,0.04626092917218,-1,100,30,0.0328204532684163,-0.8986700264452683,AB,1291,3977.705152572359,6376.5018503345045,5030.418411175835,12,10,CB,44,1,BB,0,1,1,0,200.0,0,INTERNET,2.3505283331106064,other,1,1,0,3
0.9,0.353055076112454,-1,152,20,1.5312172239560915,-0.99650871674373,AC,1726,5521.604294790105,4026.029577187938,4784.921855689987,1,13,CA,212,0,BA,0,1,-1,0,200.0,0,INTERNET,6.5433987004858665,windows,0,1,0,4
0.5,0.8442563637458141,-1,124,30,0.002111144793001,-1.1481543116690471,AC,1000,2277.6925337996263,2924.977377064481,4324.530568034857,1,8,CD,155,1,BB,0,1,-1,1,200.0,0,INTERNET,16.717915189739212,other,0,1,0,5
0.3,0.8786794610353349,-1,194,40,0.0028265119620708,17.031256429147845,AC,726,4234.9533977869405,3530.3136034927857,4234.368743141245,1,11,CF,39,1,BA,1,1,1,0,1000.0,0,INTERNET,11.564020102648596,linux,1,1,0,5
0.4,0.3825168821396665,30,42,50,8.890056273812387,39.83140479932774,AB,1054,4070.373754914654,6562.028561612469,5131.050166477764,1,5,CA,82,0,BB,0,1,21,0,200.0,0,INTERNET,23.29065518585741,linux,0,1,0,2
0.9,0.1117805222430171,-1,162,60,0.0117002296573138,-0.8818507318373863,AB,1101,7493.1709555983825,5304.667916223841,5053.562818865833,16,5,CC,169,0,BB,1,1,10,0,200.0,0,INTERNET,6.221920027852295,linux,0,2,0,4
0.6000000000000001,0.2329874162536403,-1,220,40,0.0453043692708464,-0.7694789080823277,AB,910,2588.4501856230745,3808.163195954128,4190.384974591432,27,7,CE,192,1,BC,0,1,3,0,200.0,0,INTERNET,3.0146402896563487,other,0,1,0,5
0.2,0.6518229591864906,-1,55,50,0.0189709915352328,49.82201115400575,AA,1942,11362.580120452076,8204.554373323994,6384.050038947371,26,4,CD,121,1,BA,0,1,20,0,500.0,0,INTERNET,4.86534114526526,linux,0,1,0,0
0.2,0.8128292392438717,37,192,20,0.0227962973826376,24.34118650409952,AA,1038,5687.285940105812,7074.666617101875,6406.797300847576,8,21,CC,80,0,BE,0,1,1,1,200.0,0,INTERNET,2.644544225883576,other,1,1,0,0
0.8,0.978072812354341,-1,11,10,0.0222676391625715,-0.6745428987751045,AD,286,12575.014765933633,2772.6683341536364,3641.666492713642,4,6,CA,118,1,BC,0,1,1,0,200.0,0,INTERNET,9.940298685998089,other,0,1,0,7
0.3,0.9117283262837108,-1,60,50,0.027887853358431,-1.082144996157986,AB,1071,4902.834418829781,4682.769269426235,5820.340909194756,44,3,CA,81,1,BD,0,1,25,0,500.0,0,INTERNET,8.881827556954642,windows,1,1,0,0
0.8,0.4786238114867144,-1,173,30,0.0250981410171775,23.84384345768521,AA,1856,8272.877951178723,6245.732149160598,5102.631713944697,7,13,CA,54,1,BA,1,1,26,1,200.0,0,INTERNET,4.326647226123011,other,0,1,0,3
0.9,0.7258602956641079,-1,137,40,0.0264491018575288,-0.5084875785787637,AB,1188,4389.381043967811,3439.1709114312407,4402.259273718557,39,8,CA,183,1,BA,0,1,15,1,500.0,0,INTERNET,5.7559967536102805,linux,1,1,0,5
