feature,gain,share
housing_status,50415.66016817093,0.16897897586830257
device_os,24384.322859048843,0.08172932557502206
risk_x_income,15750.174612998962,0.05279011257561125
email_mismatch_free,10890.938402175903,0.03650333272054065
has_other_cards,10798.338868618011,0.03619296538042648
name_email_similarity,9872.75010585785,0.0330906546959149
current_address_months_count,9522.701113939285,0.03191738988175157
keep_alive_session,8818.757352113724,0.029557970297729903
days_since_request,8427.66793346405,0.02824714962780493
velocity_4w,7825.560838460922,0.026229057631443422
phone_home_valid,7762.68052482605,0.02601830067686115
proposed_credit_limit,6927.7503044605255,0.02321985168128627
date_of_birth_distinct_emails_4w,6838.237685680389,0.022919830802886534
bank_branch_count_8w,6794.778057813644,0.022774166471921837
credit_risk_score,6719.442383289337,0.022521662684705696
n_missing,6705.6299793720245,0.022475367429214816
bank_months_count,6531.00263261795,0.021890066153486765
customer_age,6526.439326286316,0.021874771246548706
limit_per_risk,5665.231110572815,0.018988245872980137
prev_address_months_count,5545.307542800903,0.018586296129646927
