model__strategy,roc_auc,pr_auc,tpr_at_5pct_fpr,positive_rate,accuracy_if_predict_all_0,n,n_positive,train_rows,train_positive_rate,train_seconds
logistic_regression__none,0.8766332319766968,0.14309341649029825,0.5039274924471299,0.011033333333333332,0.9889666666666667,150000.0,1655.0,700000.0,0.01102857142857143,3.5
logistic_regression__class_weight,0.8775474640186655,0.14089359793299422,0.5027190332326285,0.011033333333333332,0.9889666666666667,150000.0,1655.0,700000.0,0.01102857142857143,5.52
logistic_regression__random_undersample,0.8769270090675172,0.14252790154355424,0.5027190332326285,0.011033333333333332,0.9889666666666667,150000.0,1655.0,84920.0,0.09090909090909091,0.57
logistic_regression__smote,0.8756294479299754,0.14244565445655627,0.49486404833836856,0.011033333333333332,0.9889666666666667,150000.0,1655.0,761508.0,0.09090909090909091,4.48
logistic_regression__smote_undersample,0.8762737449924591,0.141112992879652,0.49667673716012084,0.011033333333333332,0.9889666666666667,150000.0,1655.0,200720.0,0.23076923076923078,1.27
random_forest__none,0.8724524921951043,0.13672514150815823,0.4900302114803625,0.011033333333333332,0.9889666666666667,150000.0,1655.0,700000.0,0.01102857142857143,249.05
random_forest__class_weight,0.8696876382002882,0.12222912321103369,0.4791540785498489,0.011033333333333332,0.9889666666666667,150000.0,1655.0,700000.0,0.01102857142857143,227.11
random_forest__random_undersample,0.8787549884480724,0.1446001595482299,0.5033232628398792,0.011033333333333332,0.9889666666666667,150000.0,1655.0,84920.0,0.09090909090909091,27.76
random_forest__smote,0.8751468483231759,0.1279655035894191,0.47854984894259817,0.011033333333333332,0.9889666666666667,150000.0,1655.0,149999.0,0.09090727271515144,42.64
random_forest__smote_undersample,0.8759255344898533,0.1255745416108239,0.486404833836858,0.011033333333333332,0.9889666666666667,150000.0,1655.0,149999.0,0.23076820512136748,51.66
lightgbm__none,0.8945896369805871,0.1686514000027474,0.5365558912386706,0.011033333333333332,0.9889666666666667,150000.0,1655.0,700000.0,0.01102857142857143,47.82
lightgbm__class_weight,0.8873673366333216,0.16262426774679187,0.5196374622356495,0.011033333333333332,0.9889666666666667,150000.0,1655.0,700000.0,0.01102857142857143,44.82
lightgbm__random_undersample,0.8928104334235974,0.16820918447743313,0.540785498489426,0.011033333333333332,0.9889666666666667,150000.0,1655.0,84920.0,0.09090909090909091,16.33
lightgbm__smote,0.8938128407497872,0.1662104135424393,0.5401812688821752,0.011033333333333332,0.9889666666666667,150000.0,1655.0,761508.0,0.09090909090909091,67.18
lightgbm__smote_undersample,0.8942994707263086,0.16583528323639316,0.5401812688821752,0.011033333333333332,0.9889666666666667,150000.0,1655.0,200720.0,0.23076923076923078,25.54
xgboost__none,0.8961132694780752,0.1678437290978052,0.5486404833836858,0.011033333333333332,0.9889666666666667,150000.0,1655.0,700000.0,0.01102857142857143,97.02
xgboost__class_weight,0.8927455605599709,0.16853255327433392,0.5341389728096677,0.011033333333333332,0.9889666666666667,150000.0,1655.0,700000.0,0.01102857142857143,90.76
xgboost__random_undersample,0.8943347461350761,0.16660679971169354,0.5413897280966767,0.011033333333333332,0.9889666666666667,150000.0,1655.0,84920.0,0.09090909090909091,47.77
xgboost__smote,0.8948358764816929,0.16863931340707575,0.5395770392749245,0.011033333333333332,0.9889666666666667,150000.0,1655.0,761508.0,0.09090909090909091,169.73
xgboost__smote_undersample,0.8949884439992958,0.16578379378457184,0.5377643504531722,0.011033333333333332,0.9889666666666667,150000.0,1655.0,200720.0,0.23076923076923078,60.26
