threshold,tn,fp,fn,tp,precision,recall,f1,fpr,fnr,cost_fp,cost_fn,total_cost,cost_per_application
0.01,122405,25940,333,1322,0.04849240701342528,0.7987915407854985,0.09143410450599994,0.1748626512521487,0.2012084592145015,50,500,1463500.0,9.756666666666666
0.02,134297,14048,530,1125,0.07414486258485467,0.6797583081570997,0.13370572854765866,0.09469816980686913,0.3202416918429003,50,500,967400.0,6.449333333333334
0.03,138822,9523,680,975,0.09287483330158125,0.5891238670694864,0.1604542088373241,0.06419495095891334,0.4108761329305136,50,500,816150.0,5.441
0.05,142747,5598,865,790,0.12366938008766437,0.4773413897280967,0.19644411289319905,0.03773635781455391,0.5226586102719033,50,500,712400.0,4.749333333333333
0.07,144585,3760,990,665,0.15028248587570622,0.40181268882175225,0.21875,0.025346321075870436,0.5981873111782477,50,500,683000.0,4.553333333333334
0.1,146010,2335,1126,529,0.18470670391061453,0.31963746223564954,0.23412259349413586,0.015740335029829116,0.6803625377643504,50,500,679750.0,4.531666666666666
0.15,147097,1248,1269,386,0.23623011015911874,0.23323262839879155,0.23472179993919123,0.0084128214634804,0.7667673716012084,50,500,696900.0,4.646
0.2,147591,754,1363,292,0.27915869980879543,0.17643504531722054,0.21621621621621623,0.005082746300852742,0.8235649546827795,50,500,719200.0,4.794666666666667
0.25,147875,470,1434,221,0.31982633863965265,0.13353474320241693,0.18840579710144928,0.0031682901344838046,0.8664652567975831,50,500,740500.0,4.9366666666666665
0.3,148057,288,1484,171,0.37254901960784315,0.10332326283987915,0.16177861873226113,0.0019414203377262462,0.8966767371601209,50,500,756400.0,5.042666666666666
0.35,148161,184,1523,132,0.4177215189873418,0.0797583081570997,0.1339421613394216,0.0012403518824362129,0.9202416918429003,50,500,770700.0,5.138
0.4,148232,113,1556,99,0.4669811320754717,0.05981873111782477,0.1060524906266738,0.0007617378408439786,0.9401812688821752,50,500,783650.0,5.224333333333333
0.45,148274,71,1585,70,0.49645390070921985,0.04229607250755287,0.07795100222717148,0.0004786140415922343,0.9577039274924471,50,500,796050.0,5.307
0.5,148304,41,1603,52,0.5591397849462365,0.03141993957703928,0.05949656750572083,0.000276382756412417,0.9685800604229607,50,500,803550.0,5.357
0.6,148326,19,1624,31,0.62,0.018731117824773415,0.03636363636363637,0.00012807981394721764,0.9812688821752266,50,500,812950.0,5.419666666666667
0.7,148342,3,1640,15,0.8333333333333334,0.00906344410876133,0.017931858936043037,2.022312851798173e-05,0.9909365558912386,50,500,820150.0,5.467666666666666
0.8,148345,0,1652,3,1.0,0.0018126888217522659,0.0036188178528347406,0.0,0.9981873111782478,50,500,826000.0,5.506666666666667
0.9,148345,0,1655,0,0.0,0.0,0.0,0.0,1.0,50,500,827500.0,5.516666666666667
