,isolation_forest,lof,ocsvm,elliptic_envelope,dbscan,hdbscan,kmeans,gmm,autoencoder,vae,lstm_ae,hybrid_ensemble
isolation_forest,1.0,0.7001350316133579,0.3792535388967045,0.758460324131409,0.1419593637442533,0.7499560429851948,0.5768655246369694,0.5615448565177368,0.642798324149136,0.6076954524507626,0.5667854922489993,0.4616523148115261
lof,0.7001350316133579,1.0,0.3711048044010986,0.5607927318303548,0.1525822715115111,0.8401508362731884,0.6103923320396837,0.344739311534332,0.787437863498972,0.7441562555623027,0.5974340215835718,0.4682408466743937
ocsvm,0.3792535388967045,0.3711048044010986,1.0,0.3332205447985188,0.0951248401123317,0.3874568620840896,0.5519153774191825,-0.0524014639433242,0.3342568184664607,0.301256959158963,0.3977431527658218,0.3792692983359677
elliptic_envelope,0.758460324131409,0.5607927318303548,0.3332205447985188,1.0,0.1650630148060189,0.6440824358422212,0.4622581021867502,0.503999846265105,0.4945458414015915,0.4953771485839251,0.5043918966348292,0.3650175013669893
dbscan,0.1419593637442533,0.1525822715115112,0.0951248401123317,0.1650630148060189,1.0,0.1453985754510223,0.1195188936992828,0.0100210817636462,0.116807026983298,0.1085597675037387,0.1376330800594595,0.1894269887094839
hdbscan,0.7499560429851948,0.8401508362731885,0.3874568620840896,0.6440824358422212,0.1453985754510224,1.0,0.7823648020192778,0.3336745418934025,0.7038020608623818,0.7127454157263026,0.7143742033206024,0.4617699293772644
kmeans,0.5768655246369694,0.6103923320396837,0.5519153774191825,0.4622581021867502,0.1195188936992828,0.7823648020192778,1.0,0.0520957262749951,0.4659730583230213,0.5104958201099687,0.6309186713454763,0.4113539247774541
gmm,0.5615448565177368,0.344739311534332,-0.0524014639433242,0.503999846265105,0.0100210817636462,0.3336745418934025,0.0520957262749951,1.0,0.4319091402362972,0.3728405835001158,0.2343293327950117,0.1751845860662989
autoencoder,0.642798324149136,0.787437863498972,0.3342568184664607,0.4945458414015915,0.116807026983298,0.7038020608623818,0.4659730583230213,0.4319091402362972,1.0,0.8006912889053598,0.5700624974694118,0.4248564190414892
vae,0.6076954524507626,0.7441562555623027,0.301256959158963,0.4953771485839251,0.1085597675037387,0.7127454157263025,0.5104958201099687,0.3728405835001158,0.8006912889053598,1.0,0.5873046793918442,0.3873451695563768
lstm_ae,0.5667854922489993,0.5974340215835718,0.3977431527658218,0.5043918966348292,0.1376330800594595,0.7143742033206024,0.6309186713454763,0.2343293327950117,0.5700624974694118,0.5873046793918442,1.0,0.3734291454395795
hybrid_ensemble,0.4616523148115261,0.4682408466743937,0.3792692983359676,0.3650175013669893,0.1894269887094839,0.4617699293772644,0.4113539247774541,0.1751845860662989,0.4248564190414891,0.3873451695563768,0.3734291454395795,1.0
