,isolation_forest,lof,ocsvm,elliptic_envelope,dbscan,hdbscan,kmeans,gmm,autoencoder,vae,lstm_ae,hybrid_ensemble
isolation_forest,1.0,0.28,0.3184079601990049,0.1627906976744186,0.1224489795918367,0.0988929889298893,0.25,0.25,0.238095238095238,0.238095238095238,0.1556603773584905,0.4522292993630573
lof,0.28,1.0,0.4457142857142857,0.233160621761658,0.2540983606557377,0.0900369003690036,0.2916666666666667,0.1376146788990825,0.3052631578947368,0.2717948717948718,0.3142857142857143,0.5766423357664233
ocsvm,0.3184079601990049,0.4457142857142857,1.0,0.2931937172774869,0.2366412213740458,0.0958702064896755,0.4438202247191011,0.1125541125541125,0.2475728155339805,0.2180094786729857,0.437125748502994,0.3719512195121951
elliptic_envelope,0.1627906976744186,0.233160621761658,0.2931937172774869,1.0,0.225,0.0737226277372262,0.2160804020100502,0.085201793721973,0.0950226244343891,0.1203703703703703,0.2582417582417582,0.1731843575418994
dbscan,0.1224489795918367,0.2540983606557377,0.2366412213740458,0.225,1.0,0.0228782287822878,0.246031746031746,0.0466666666666666,0.1134751773049645,0.0902777777777777,0.2295081967213114,0.2254901960784313
hdbscan,0.0988929889298893,0.0900369003690036,0.0958702064896755,0.0737226277372262,0.0228782287822878,1.0,0.0929889298892989,0.0881704628949302,0.0929889298892989,0.0929889298892989,0.0837173579109063,0.0693726937269372
kmeans,0.25,0.2916666666666667,0.4438202247191011,0.2160804020100502,0.246031746031746,0.0929889298892989,1.0,0.0723404255319148,0.125,0.125,0.3390804597701149,0.2359550561797752
gmm,0.25,0.1376146788990825,0.1125541125541125,0.085201793721973,0.0466666666666666,0.0881704628949302,0.0723404255319148,1.0,0.1506849315068493,0.125,0.0560344827586206,0.1827956989247312
autoencoder,0.238095238095238,0.3052631578947368,0.2475728155339805,0.0950226244343891,0.1134751773049645,0.0929889298892989,0.125,0.1506849315068493,1.0,0.3475935828877005,0.1069767441860465,0.4965986394557823
vae,0.238095238095238,0.2717948717948718,0.2180094786729857,0.1203703703703703,0.0902777777777777,0.0929889298892989,0.125,0.125,0.3475935828877005,1.0,0.119047619047619,0.3173652694610778
lstm_ae,0.1556603773584905,0.3142857142857143,0.437125748502994,0.2582417582417582,0.2295081967213114,0.0837173579109063,0.3390804597701149,0.0560344827586206,0.1069767441860465,0.119047619047619,1.0,0.2117647058823529
hybrid_ensemble,0.4522292993630573,0.5766423357664233,0.3719512195121951,0.1731843575418994,0.2254901960784313,0.0693726937269372,0.2359550561797752,0.1827956989247312,0.4965986394557823,0.3173652694610778,0.2117647058823529,1.0
