,isolation_forest,lof,ocsvm,elliptic_envelope,dbscan,hdbscan,kmeans,gmm,autoencoder,vae
TransactionAmount,0.39298960408455563,0.24067677567019924,0.2308956074848325,0.316935873427891,0.11346503874685371,0.4239547565429476,0.3320074379196338,0.0780010888191244,0.19477810003186413,0.28271451356555183
CustomerAge,0.3072659047802954,0.12266408771614437,0.04928910561898633,0.046616036286115645,0.016553296420412242,0.15742528758434643,0.13019584195903972,0.016574494582972492,0.12647211423112195,0.08309214406701436
TransactionDuration,0.48052735156273396,0.038496898428434984,0.007202933074178161,0.0037780111389796164,0.017351263341065976,0.03944324728225822,0.016055156249562007,0.03714440925344686,0.2586733757045656,0.0339200864403467
LoginAttempts,0.32190956675257415,0.24831227761068667,0.09443849212657819,0.167220713352707,0.003039813042583784,0.20249549900835842,0.09558116079994117,0.2359672014707018,0.4120755541282164,0.20768129637240434
AccountBalance,0.26991444831937084,0.09457885486145394,0.00669370221385702,0.06645286229693884,0.020870484756685008,0.1634507014190418,0.12151846284288424,0.004041899807022666,0.2152909696330849,0.07232258061500155
Amount_vs_TypeAvg,0.39003310900470756,0.23888952398234847,0.2312704292065294,0.3114920085436038,0.11321304111653963,0.42228550843223833,0.3312851500654977,0.07600100826069281,0.1999060083488591,0.2814456937883032
DeviceTxnCount,0.48734895534661793,0.03780762076548506,0.017513116198564747,0.005974519224891438,0.030059290272665747,0.01047375607552945,0.0034690060705696584,0.020880971171908128,0.206132636619859,0.03955770811340442
IPTxnCount,0.39687531503214524,0.12495382842656881,0.029209064991638792,0.03488930607027556,0.01180466283781438,0.1071141373753376,0.06081924012760549,0.028399094679647206,0.5139949915638149,0.07306736340425998
MerchantTxnCount,0.31345893489781146,0.011855133108014629,0.05142673664361281,0.0018821328197481868,0.011898503101343216,0.0028461451475922804,0.012533888957059933,0.01836941191393234,0.377514899858614,0.015600655257851813
Amount_vs_AccountAvg,0.4285565910929615,0.18539908189356633,0.1492022268714413,0.2389379718907362,0.1238273420493619,0.3422710016981496,0.2782969909109987,0.05690152779008821,0.9999999974380749,0.249786296964026
DeviceNoveltyFlag,0.04348065052234623,0.02254777248726601,0.009808917974686344,0.10691083649682485,0.019547931199926028,0.013041438222706188,0.02253184891912529,0.11274682422040042,0.0027857593428058116,0.022277071828873694
LocationNoveltyFlag,0.7086273973425969,0.0773221873990308,0.030544413041935874,0.16454639458195192,0.014726270968097551,0.05243621578311277,0.016105837091851143,0.2545336266032111,0.058312366396850154,0.0705185339295846
TimeSinceLastTxn,0.569485742399816,0.07022842775893189,0.12042982516358362,0.1082065969386901,0.035279446189376854,0.06457994029112256,0.04695368045424848,0.11191824723422643,0.6864092357614944,0.08120236381572218
Location_enc,0.30691181510030585,0.013392481878457473,0.021435854448447443,0.012688080484044306,0.006470308691300143,0.0029232890961682326,0.00219473104611855,0.006201535491525063,0.15188497443629306,0.02585539448227058
TransactionType_Debit,0.9999999994319279,0.12657588022240493,0.022324336946224266,0.3581382181110843,0.024954089312254856,0.11630839662246026,0.05353851331833314,0.13994213569223588,0.11074794128643826,0.09270945031033254
Channel_Branch,0.56846201396518,0.006094132818028671,0.007250852098889579,0.043437002376200955,0.01232366202840078,0.0053980381766048306,0.013274565878861848,0.019923970128122154,0.07749367675675566,0.0017697112350895917
Channel_Online,0.615538093077054,0.03946004426720511,0.03311985535538496,0.042987067876669505,0.029334170422813426,0.022936870664533898,0.009810268231983943,0.002644680652569425,0.07040692662570165,0.03922404834659848
CustomerOccupation_Engineer,0.8099721232937956,0.0635644391835942,0.03165364945810406,0.025539425322479912,0.02574340867356383,0.06334683805306335,0.06164826800588768,0.005382168016374449,0.09702100797427367,0.0515594807249876
CustomerOccupation_Retired,0.8659425898404521,0.08276941361605969,0.04805880761179331,0.05475384247685316,0.016359677983247237,0.10876981729265278,0.07860578985545291,0.024911532942677436,0.11916806982661972,0.06231715779199003
CustomerOccupation_Student,0.7912155028598713,0.13757008055100606,0.03819354309557557,0.055007171329502974,0.03382666154891702,0.1811985721107445,0.14903357730455374,0.003663147458840424,0.07517419487418027,0.10677340963872922
Velocity_1D_Count,0.17329784269320564,0.07803835052769173,0.06872374737363302,0.1461765252310813,0.019138746198549123,0.0828262786712186,0.04022902238121582,0.20814691815293573,0.024346646317651384,0.07359252009093427
Velocity_7D_Count,0.4541556636056782,0.08459227280727413,0.1129247354761584,0.16819482274232098,0.0028282615939558844,0.06853886331011927,0.0022638760729877146,0.23827708125703326,0.0737299608807663,0.07786742594691475
Expanding_MeanAmount,0.3238579216333654,0.11116063185790165,0.10906719819239057,0.12825724738335734,0.05005638379845622,0.12891392472615643,0.09809848294533584,0.034626661678399735,0.458383928080384,0.014698620190839186
Expanding_MedianAmount,0.28838501194857685,0.07261544958695139,0.19396305930230914,0.056201930081827445,0.06117567239844879,0.10600832920108695,0.04732144486875263,0.06092764136054681,0.4450800805245036,0.007470574750406066
Expanding_StdAmount,0.26072898804166655,0.03988134656764286,0.282282649995629,0.3004960267479769,0.004966629639861751,0.0244698563879877,0.26994026641715424,0.6648048343396313,0.2468236773230466,0.07360019746225144
Expanding_MinAmount,0.23162953008643988,0.12742591479699972,0.19040123833211486,0.049732341747607524,0.006651858039155003,0.22546334198435594,0.05031344241764103,0.3266482216825817,0.5098712875596737,0.12739744792930147
Expanding_MaxAmount,0.2632898525072301,0.030087591762476468,0.041406351221151404,0.020728004857284446,0.06093395669627517,0.08593704851908551,0.03254734416707926,0.28385210935031163,0.2701355557074198,0.11612852871441996
Rolling3_MeanAmount,0.4054971549817256,0.09786280168865315,0.1056960810334555,0.08094949328935339,0.055299073000894844,0.11938739123284976,0.10706440333226963,0.004939266175126774,0.3842606180255878,0.008433696589156199
Rolling3_StdAmount,0.32533742970584867,0.025210990347886295,0.2963088154198527,0.24388007114789279,0.01290406792038852,0.03447640285809571,0.2682922917877268,0.6504065167691486,0.29490349586310033,0.06269217220527219
Amount_to_Balance_Ratio,0.3000395485124574,0.24488361726700994,0.18055271549656737,0.26029076732108863,0.09302310362794187,0.41289991912592233,0.3003880525178242,0.05375133039143346,0.9395713792578507,0.2622370067903142
Amount_to_RollingMean_Ratio,0.25509392426557104,0.18555551228699796,0.14921554220757016,0.24120263754881682,0.12391778050984463,0.34257041891991774,0.2784266385399357,0.05737031279047036,0.9227319313280647,0.24987355756827623
Amount_minus_ExpandingMean,0.4465748113743159,0.14811172757853758,0.1179067092312436,0.21135789154486814,0.11879620539212682,0.27825910733056225,0.22694233579085796,0.048871607940596445,0.16156358437750806,0.2558449768209908
Amount_minus_ExpandingMedian,0.2838142987916721,0.16019101356367663,0.08955948367641134,0.24396702502167453,0.12039117544450574,0.2806232255809081,0.24215285415701482,0.03238290267556375,0.18235548858829984,0.25271638148694153
