Model_1,Model_2,Spearman,Jaccard
lof,hybrid_ensemble,0.4682408466743937,0.5766423357664233
autoencoder,hybrid_ensemble,0.4248564190414892,0.4965986394557823
isolation_forest,hybrid_ensemble,0.4616523148115261,0.4522292993630573
lof,ocsvm,0.3711048044010986,0.4457142857142857
ocsvm,kmeans,0.5519153774191825,0.4438202247191011
ocsvm,lstm_ae,0.3977431527658218,0.437125748502994
ocsvm,hybrid_ensemble,0.3792692983359677,0.3719512195121951
autoencoder,vae,0.8006912889053598,0.3475935828877005
kmeans,lstm_ae,0.6309186713454763,0.3390804597701149
isolation_forest,ocsvm,0.3792535388967045,0.3184079601990049
