Model_1,Model_2,Spearman,Disagreement
dbscan,hdbscan,0.1453985754510223,0.9771217712177122
dbscan,gmm,0.0100210817636462,0.9533333333333334
gmm,lstm_ae,0.2343293327950117,0.9439655172413794
hdbscan,hybrid_ensemble,0.4617699293772644,0.9306273062730628
kmeans,gmm,0.0520957262749951,0.9276595744680852
elliptic_envelope,hdbscan,0.6440824358422212,0.9262773722627738
hdbscan,lstm_ae,0.7143742033206024,0.9162826420890937
elliptic_envelope,gmm,0.503999846265105,0.914798206278027
hdbscan,gmm,0.3336745418934025,0.9118295371050698
lof,hdbscan,0.8401508362731884,0.9099630996309964
