precision,recall,f1,roc_auc,pr_auc,tp,fp,fn,tn,fold,model
0.44,0.6470588235294118,0.5238095238095238,0.9332690453230472,0.5902515245818423,11,14,6,291,1,XGBoost + SMOTE
0.4375,0.4117647058823529,0.42424242424242425,0.8827386692381871,0.4778130403823717,7,9,10,296,2,XGBoost + SMOTE
0.47619047619047616,0.5555555555555556,0.5128205128205128,0.9378654970760234,0.6293812252044415,10,11,8,293,3,XGBoost + SMOTE
0.5454545454545454,0.7058823529411765,0.6153846153846154,0.9446594427244582,0.6286912145433093,12,10,5,294,4,XGBoost + SMOTE
0.3181818181818182,0.4117647058823529,0.358974358974359,0.8761609907120742,0.4781270921831216,7,15,10,289,5,XGBoost + SMOTE
0.625,0.5882352941176471,0.6060606060606061,0.9513982642237222,0.6048543879679782,10,6,7,299,1,XGBoost + Class Weighting
0.6,0.5294117647058824,0.5625,0.9560270009643201,0.6145512520296603,9,6,8,299,2,XGBoost + Class Weighting
0.5789473684210527,0.6111111111111112,0.5945945945945946,0.9501096491228069,0.5963835593386282,11,8,7,296,3,XGBoost + Class Weighting
0.5882352941176471,0.5882352941176471,0.5882352941176471,0.9694272445820433,0.7134171038836353,10,7,7,297,4,XGBoost + Class Weighting
0.4117647058823529,0.4117647058823529,0.4117647058823529,0.9164086687306502,0.5591830960954443,7,10,10,294,5,XGBoost + Class Weighting
0.3448275862068966,0.5882352941176471,0.43478260869565216,0.914175506268081,0.37762053878325924,10,19,7,286,1,Random Forest (class_weight=balanced)
0.40625,0.7647058823529411,0.5306122448979592,0.9147540983606557,0.3414859828640389,13,19,4,286,2,Random Forest (class_weight=balanced)
0.4666666666666667,0.7777777777777778,0.5833333333333334,0.9331140350877193,0.4615130072543328,14,16,4,288,3,Random Forest (class_weight=balanced)
0.4375,0.8235294117647058,0.5714285714285714,0.9583978328173375,0.6701411118557956,14,18,3,286,4,Random Forest (class_weight=balanced)
0.3157894736842105,0.7058823529411765,0.43636363636363634,0.9100232198142415,0.30733740534710297,12,26,5,278,5,Random Forest (class_weight=balanced)
