TransactionID,TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,DeviceNoveltyFlag,LocationNoveltyFlag,Amount_vs_TypeAvg,DeviceTxnCount,IPTxnCount,MerchantTxnCount,Amount_vs_AccountAvg,TimeSinceLastTxn,Location_enc,TransactionType_Debit,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,split
TX002121,476.99,23,187,1,1154.48,1,1,0.6737844876931652,1,4,13,0.6737844876931652,839.8416666666667,36,True,False,True,False,False,True,train
TX000021,59.32,71,38,1,5750.89,1,1,-0.7918428116405253,1,2,19,-0.8756368039673016,1176.6,20,True,True,False,False,True,False,train
TX001477,12.62,33,61,1,6420.47,1,1,-0.9557157134024027,2,4,22,-0.9529376630943385,1583.9833333333333,12,True,True,False,False,False,False,train
TX000062,263.99,79,227,2,4175.02,1,1,-0.0736443790151836,3,5,17,0.4427522610747147,263.53333333333336,9,True,True,False,False,True,False,train
TX001599,395.16,56,17,1,5340.73,1,1,0.386638458760094,6,2,14,0.9443979680933032,1656.1166666666666,25,True,False,True,False,True,False,train
TX002326,20.17,77,86,1,3869.37,1,1,-0.9292223427749471,3,5,23,-0.9292223427749471,839.8416666666667,35,True,False,False,False,True,False,train
TX001841,237.97,69,69,1,13486.15,1,1,-0.16495000864781856,5,2,16,10.798214635685937,168.68333333333334,8,True,False,False,False,False,False,train
TX002363,416.62,26,67,1,9700.9,1,1,0.34944791316244966,1,4,18,2.2278608334402974,1344.0,3,False,False,True,False,False,True,train
TX001904,384.11,58,12,1,7902.52,1,1,0.3478633931397782,3,4,16,0.7077627569457464,1679.15,13,True,False,False,False,True,False,train
TX001851,13.16,43,98,1,1019.46,1,1,-0.9538208233177898,2,3,22,-0.9538208233177898,839.8416666666667,23,True,True,False,True,False,False,train
TX000707,642.54,44,28,1,3143.17,1,1,1.2547086608554523,7,6,16,47.82522432939025,217.21666666666667,25,True,True,False,True,False,False,train
TX001648,99.25,63,93,1,2570.34,1,1,-0.6785254994735094,1,2,15,-0.6972700909035532,1126.0666666666666,31,False,False,True,False,True,False,train
TX000223,547.87,64,131,1,6155.76,1,1,0.9225063565771454,4,4,17,1.1771110622805045,336.3666666666667,8,True,False,False,False,True,False,train
TX002315,162.59,64,19,1,7104.83,1,1,-0.4294626282369046,3,4,18,-0.4294626282369046,839.8416666666667,16,True,True,False,False,True,False,train
TX000944,377.92,33,204,1,2254.71,1,1,0.32614233828097694,1,4,15,1.3243741846092985,1.1833333333333333,33,True,True,False,True,False,False,train
TX001792,680.76,21,165,1,572.97,1,1,1.3888247701774856,4,7,23,1.5189543152986835,119.15,18,True,True,False,False,False,True,train
TX000547,420.28,35,144,1,8557.32,1,1,0.47478593825170756,2,3,22,0.03240069755483874,1896.8333333333333,42,True,True,False,False,False,False,train
TX000760,417.8,27,130,1,1518.82,1,1,0.35326997771458263,1,4,19,0.01806219726950218,958.8833333333333,30,False,True,False,False,False,True,train
TX000195,488.54,52,132,1,7486.63,1,1,0.7143140811696039,3,3,16,0.18615096951428617,169.43333333333334,17,True,True,False,True,False,False,train
TX000662,158.56,33,100,1,5401.21,1,1,-0.4436041227572551,3,4,17,-0.4436041227572551,839.8416666666667,34,True,False,False,False,False,False,train
TX000216,74.88,25,202,1,420.67,1,1,-0.7372419047579811,4,4,26,-0.5277497444011747,2038.95,1,True,False,False,False,False,True,train
TX001406,611.15,27,121,1,892.83,1,1,1.1445594020480576,5,2,22,4.2360349191566575,1896.7833333333333,11,True,False,False,False,False,True,train
TX000077,162.63,22,113,1,634.17,1,1,-0.42932226600841483,2,4,15,-0.42932226600841483,839.8416666666667,18,True,False,True,False,False,True,train
TX000839,637.75,79,152,1,4202.92,1,1,1.2379002839937951,1,2,22,2.9214781840897857,1006.2333333333333,9,True,True,False,False,True,False,train
TX002512,243.08,24,93,1,131.25,1,1,-0.21265469902157627,4,3,14,-0.21265469902157627,839.8416666666667,17,False,False,True,False,False,True,train
TX002048,425.18,59,135,1,5790.55,1,1,0.37717407635419375,4,2,16,0.7491360838031261,143.91666666666666,14,False,False,True,True,False,False,train
TX000868,87.38,21,252,1,1504.99,1,1,-0.693378708354909,3,3,19,-0.7384850185901146,266.1166666666667,1,True,True,False,False,False,True,train
TX000840,153.59,66,174,1,4813.12,0,1,-0.5025161878100314,4,2,22,-0.3902255026591016,1487.3333333333333,32,False,True,False,False,True,False,train
TX002367,281.91,25,269,1,225.53,1,1,-0.010762100651739357,3,4,11,-0.010762100651739357,839.8416666666667,10,True,True,False,False,False,True,train
TX001737,7.56,40,145,1,8528.72,1,1,-0.9734715353063663,3,6,22,-0.973182927270466,599.4666666666667,25,True,False,False,False,False,False,train
