,mean_abs_shap
TransactionAmount,0.8818149
Amount_vs_AccountAvg,0.7417514
LoginAttempts,0.5617533
TransactionType_Debit,0.50279444
IPTxnCount,0.41963333
LocationNoveltyFlag,0.4152191
TimeSinceLastTxn,0.38701603
TransactionDuration,0.26553166
CustomerAge,0.21793348
MerchantTxnCount,0.20942684
Location_enc,0.18639567
DeviceTxnCount,0.17716895
DeviceNoveltyFlag,0.16587402
AccountBalance,0.08578045
Channel_Branch,0.07399726
Channel_Online,0.052747797
Amount_vs_TypeAvg,0.036777746
CustomerOccupation_Engineer,0.016886478
CustomerOccupation_Retired,0.0040616826
CustomerOccupation_Student,0.0
