TransactionID,AccountID,reconstruction_mse,reconstruction_mae,split
TX001313,AC00001,0.21854633,0.3098906,train
TX002017,AC00001,0.17327547,0.302976,train
TX002121,AC00002,0.31884366,0.44481507,train
TX000021,AC00002,0.18694368,0.31081763,train
TX001477,AC00002,0.20567217,0.34293735,train
TX000062,AC00002,0.29292718,0.40480316,train
TX001599,AC00002,0.19091845,0.3221222,train
TX001674,AC00002,0.12750569,0.2600587,train
TX001029,AC00002,0.4270828,0.42188483,train
TX002326,AC00003,0.10388869,0.22145763,train
TX001841,AC00003,0.22457305,0.378326,train
TX002363,AC00003,0.23375139,0.38804635,train
TX001904,AC00003,0.1526227,0.29050824,train
TX002248,AC00003,0.26551333,0.33151037,train
TX001851,AC00004,0.07560491,0.1842973,train
TX000707,AC00004,0.646109,0.54810065,train
TX001648,AC00004,0.1916523,0.33090404,train
TX000223,AC00004,0.15126136,0.31262502,train
TX002442,AC00004,0.22187166,0.328306,train
TX002391,AC00004,0.14766762,0.30290177,train
TX001820,AC00004,0.29441878,0.41010964,train
TX002328,AC00004,0.22075395,0.381061,train
TX000245,AC00004,0.32302287,0.4220597,train
TX002315,AC00005,0.13954529,0.2687749,train
TX000944,AC00005,0.24088164,0.37990737,train
TX001792,AC00005,0.2552816,0.3424489,val
TX000547,AC00005,0.2263617,0.36239144,train
TX000760,AC00005,0.37882945,0.43670484,train
TX000195,AC00005,0.1918533,0.36457482,train
TX001971,AC00005,0.33010894,0.41574618,val
TX002083,AC00005,0.24958366,0.3906078,train
TX001038,AC00005,0.24368012,0.39801928,train
TX000662,AC00006,0.09518772,0.23938952,train
TX000216,AC00006,0.33761397,0.39900872,train
TX001406,AC00006,0.28255358,0.41553158,train
TX001977,AC00006,0.22515842,0.34596142,train
TX000077,AC00007,0.16768269,0.3096642,train
TX000839,AC00007,0.27076846,0.37150815,train
TX000977,AC00007,0.18232289,0.3226591,train
TX001336,AC00007,0.2096755,0.34263876,train
TX001579,AC00007,0.16355833,0.28259242,train
TX002005,AC00008,0.19609118,0.278446,train
TX002512,AC00009,0.2771414,0.4175843,train
TX002048,AC00009,0.1768847,0.3029246,val
TX000868,AC00009,0.26354635,0.37823656,val
TX000840,AC00009,0.25505978,0.31812066,train
TX000279,AC00009,0.56886035,0.3801894,train
TX002367,AC00010,0.3377886,0.43243426,train
TX001737,AC00010,0.17980056,0.3088785,val
TX001760,AC00010,0.37755617,0.47642985,val
TX001168,AC00010,0.5208692,0.5525026,train
TX000096,AC00010,0.34351465,0.48011184,val
TX000180,AC00010,0.47755432,0.4942576,train
TX000202,AC00010,0.17954512,0.31617764,train
TX000694,AC00011,0.5375766,0.40971813,train
TX000735,AC00011,0.113277785,0.24604574,train
TX001015,AC00011,0.46620888,0.46297222,val
TX000098,AC00011,0.27194193,0.38126507,train
TX000045,AC00011,0.22495857,0.3555262,train
TX002023,AC00011,0.098914154,0.22721109,train
TX001560,AC00011,0.25294837,0.3650656,train
TX002047,AC00012,0.12373093,0.25007853,train
TX000513,AC00012,0.61194056,0.49713942,train
TX001153,AC00012,0.19232187,0.32569027,train
TX000728,AC00012,0.18547693,0.31227598,train
TX002152,AC00012,0.28634655,0.39220065,train
TX001510,AC00012,0.32853714,0.39590222,train
TX000576,AC00013,0.08871087,0.19486555,val
TX001291,AC00013,0.20635462,0.35819814,train
TX001010,AC00013,0.31559736,0.4345329,val
TX002156,AC00013,0.30874848,0.43593735,val
TX000107,AC00013,0.21821213,0.33798674,train
TX001980,AC00013,0.19350299,0.32601714,train
TX000780,AC00013,0.18023394,0.33960062,val
TX000578,AC00013,0.1352213,0.2750436,train
TX002447,AC00014,0.23834847,0.36532032,train
TX000375,AC00014,1.2229105,0.67208,val
TX001234,AC00014,0.81850135,0.58774143,train
TX000520,AC00014,0.44718495,0.49657714,train
TX000080,AC00014,0.24123013,0.36513856,train
TX000657,AC00014,0.3564858,0.45061734,train
TX000022,AC00014,0.22795996,0.36968535,train
TX002124,AC00014,0.28133515,0.39074656,train
TX000740,AC00014,0.23776686,0.36717746,train
TX001456,AC00015,0.2561621,0.37767178,train
TX001467,AC00015,0.25498104,0.32024154,train
TX001620,AC00015,0.178261,0.33271885,train
TX001562,AC00015,0.40697753,0.3825885,train
TX001181,AC00016,0.19814628,0.29786298,train
TX002335,AC00016,0.26754203,0.42502117,train
TX001135,AC00016,0.5016993,0.5422503,train
TX001592,AC00016,0.35209548,0.4533931,train
TX001969,AC00016,0.7419883,0.6104449,train
TX001542,AC00016,0.17578797,0.33758998,val
TX001864,AC00017,0.17450385,0.28719184,train
TX000952,AC00017,0.31425983,0.4465101,train
TX001670,AC00017,0.26947963,0.38044345,val
TX000971,AC00017,0.12980603,0.25416282,train
TX001337,AC00017,0.4116889,0.3758178,train
TX001498,AC00018,0.192365,0.34419754,train
TX001802,AC00018,0.6373423,0.49298763,val
TX000102,AC00018,0.72837114,0.6445541,train
TX002086,AC00019,0.17272347,0.31554767,train
TX001683,AC00019,0.16686127,0.29469493,train
TX002414,AC00019,0.2756002,0.40803668,train
TX000003,AC00019,0.18403654,0.33408502,train
TX001326,AC00020,0.33030152,0.42598695,train
TX001830,AC00020,0.13129191,0.27056485,train
TX000404,AC00020,0.19594657,0.3628889,train
TX002028,AC00020,0.122232854,0.26471236,val
TX000206,AC00020,0.11539995,0.2591043,train
TX001259,AC00020,0.477613,0.55403364,val
TX001715,AC00020,0.20871322,0.34120923,train
TX002170,AC00020,0.25003424,0.38239932,train
TX001139,AC00020,0.3739981,0.47621566,train
TX001821,AC00021,0.24068572,0.3681543,train
TX002112,AC00021,0.30833954,0.4284335,train
TX002126,AC00021,0.3012719,0.45580047,train
TX000382,AC00021,0.17900915,0.31965914,train
TX001998,AC00021,0.34897327,0.5021408,train
TX000459,AC00021,0.26277062,0.37385386,train
TX001776,AC00021,0.27687922,0.44009167,train
TX002149,AC00021,0.31157774,0.44711354,train
TX000078,AC00022,0.13196398,0.24207859,train
TX001771,AC00022,0.22403835,0.35894713,val
TX000584,AC00022,0.34965757,0.49659452,train
TX001053,AC00022,0.2487002,0.39668292,train
TX001358,AC00023,0.25102976,0.39191446,train
TX000670,AC00023,0.4492362,0.382306,train
TX001959,AC00023,0.1264233,0.28160235,train
TX001719,AC00023,0.2305984,0.38829345,train
TX000271,AC00023,0.1515523,0.3040445,train
TX000617,AC00023,0.19002391,0.32536772,train
TX001471,AC00024,0.24566074,0.35768044,train
