n_estimators,max_samples,max_features,silhouette
50,0.3,0.5,0.43226659766399417
50,0.3,0.7,0.5230234264438836
50,0.3,1.0,0.40368561303987327
50,0.5,0.5,0.5128497207680225
50,0.5,0.7,0.48726860753731616
50,0.5,1.0,0.5671348746550519
50,0.8,0.5,0.4573716942688342
50,0.8,0.7,0.3883917141600134
50,0.8,1.0,0.572822117502875
50,1.0,0.5,0.3758193100600253
50,1.0,0.7,0.46270913242783723
50,1.0,1.0,0.539385667634953
100,0.3,0.5,0.5099426449459763
100,0.3,0.7,0.5826213774763654
100,0.3,1.0,0.4421502397242203
100,0.5,0.5,0.4939226020797111
100,0.5,0.7,0.4610195771352593
100,0.5,1.0,0.593108654231869
100,0.8,0.5,0.5937210662059369
100,0.8,0.7,0.5930987715212429
100,0.8,1.0,0.4687437347207228
100,1.0,0.5,0.5648533741006212
100,1.0,0.7,0.4617958666313503
100,1.0,1.0,0.5248826601284551
200,0.3,0.5,0.47816612744089343
200,0.3,0.7,0.4817669278937513
200,0.3,1.0,0.5808072681007314
200,0.5,0.5,0.5624646813319705
200,0.5,0.7,0.4009129568211415
200,0.5,1.0,0.5332288200806077
200,0.8,0.5,0.3638472495807865
200,0.8,0.7,0.532361738250825
200,0.8,1.0,0.5457246719529266
200,1.0,0.5,0.5265153049142652
200,1.0,0.7,0.45847730817072124
200,1.0,1.0,0.483669686139237
300,0.3,0.5,0.5831902191475868
300,0.3,0.7,0.468614238579318
300,0.3,1.0,0.4866480745325326
300,0.5,0.5,0.5936483785518997
300,0.5,0.7,0.316822054807462
300,0.5,1.0,0.5550746374135801
300,0.8,0.5,0.5813772665571165
300,0.8,0.7,0.3766317363052555
300,0.8,1.0,0.6091883092252965
300,1.0,0.5,0.4816546542128892
300,1.0,0.7,0.565306968443255
300,1.0,1.0,0.5246344638564123
500,0.3,0.5,0.47772379015502
500,0.3,0.7,0.38158712736538536
500,0.3,1.0,0.5763476934450641
500,0.5,0.5,0.4788050788021814
500,0.5,0.7,0.41243967013775445
500,0.5,1.0,0.4088120795362778
500,0.8,0.5,0.5104107448058465
500,0.8,0.7,0.5612952133295545
500,0.8,1.0,0.41331038440019646
500,1.0,0.5,0.5747862482636028
500,1.0,0.7,0.5270473245731709
500,1.0,1.0,0.49974105919285045
