model,n_rows_used,n_flagged_top5pct,flagged_rate,silhouette,davies_bouldin,calinski_harabasz,compute_sec
hdbscan,2512,126,0.0502,0.672,1.7238,359.54,0.23
ocsvm,2512,126,0.0502,0.6642,2.1167,253.9,0.42
kmeans,2512,126,0.0502,0.6631,2.459,192.44,0.25
lstm_ae,2402,121,0.0504,0.6428,2.0353,245.54,0.22
lof,2512,126,0.0502,0.617,2.374,182.11,0.33
dbscan,2512,149,0.0593,0.6152,1.9066,280.59,0.22
elliptic_envelope,2512,126,0.0502,0.6096,1.8392,278.92,0.37
isolation_forest,2512,126,0.0502,0.565,2.5409,128.59,0.41
autoencoder,2512,126,0.0502,0.496,2.9741,71.5,0.26
vae,2512,126,0.0502,0.4957,2.3781,106.1,0.28
hybrid_ensemble,2512,253,0.1007,0.4673,3.0362,112.21,0.26
gmm,2512,126,0.0502,0.3192,4.1126,20.72,0.24
