,isolation_forest,lof,ocsvm,elliptic_envelope,dbscan,hdbscan,kmeans,gmm,autoencoder,vae,lstm_ae,hybrid_ensemble
isolation_forest,1.0,0.28,0.31840796019900497,0.16279069767441862,0.12244897959183673,0.0988929889298893,0.25,0.25,0.23809523809523808,0.23809523809523808,0.15566037735849056,0.45222929936305734
lof,0.28,1.0,0.44571428571428573,0.23316062176165803,0.2540983606557377,0.09003690036900369,0.2916666666666667,0.13761467889908258,0.30526315789473685,0.2717948717948718,0.3142857142857143,0.5766423357664233
ocsvm,0.31840796019900497,0.44571428571428573,1.0,0.2931937172774869,0.2366412213740458,0.09587020648967552,0.4438202247191011,0.11255411255411256,0.24757281553398058,0.21800947867298578,0.437125748502994,0.3719512195121951
elliptic_envelope,0.16279069767441862,0.23316062176165803,0.2931937172774869,1.0,0.225,0.07372262773722628,0.21608040201005024,0.08520179372197309,0.09502262443438914,0.12037037037037036,0.25824175824175827,0.17318435754189945
dbscan,0.12244897959183673,0.2540983606557377,0.2366412213740458,0.225,1.0,0.022878228782287822,0.24603174603174602,0.04666666666666667,0.11347517730496454,0.09027777777777778,0.22950819672131148,0.22549019607843138
hdbscan,0.0988929889298893,0.09003690036900369,0.09587020648967552,0.07372262773722628,0.022878228782287822,1.0,0.0929889298892989,0.0881704628949302,0.0929889298892989,0.0929889298892989,0.0837173579109063,0.06937269372693727
kmeans,0.25,0.2916666666666667,0.4438202247191011,0.21608040201005024,0.24603174603174602,0.0929889298892989,1.0,0.07234042553191489,0.125,0.125,0.3390804597701149,0.23595505617977527
gmm,0.25,0.13761467889908258,0.11255411255411256,0.08520179372197309,0.04666666666666667,0.0881704628949302,0.07234042553191489,1.0,0.1506849315068493,0.125,0.05603448275862069,0.1827956989247312
autoencoder,0.23809523809523808,0.30526315789473685,0.24757281553398058,0.09502262443438914,0.11347517730496454,0.0929889298892989,0.125,0.1506849315068493,1.0,0.34759358288770054,0.10697674418604651,0.4965986394557823
vae,0.23809523809523808,0.2717948717948718,0.21800947867298578,0.12037037037037036,0.09027777777777778,0.0929889298892989,0.125,0.125,0.34759358288770054,1.0,0.11904761904761904,0.31736526946107785
lstm_ae,0.15566037735849056,0.3142857142857143,0.437125748502994,0.25824175824175827,0.22950819672131148,0.0837173579109063,0.3390804597701149,0.05603448275862069,0.10697674418604651,0.11904761904761904,1.0,0.21176470588235294
hybrid_ensemble,0.45222929936305734,0.5766423357664233,0.3719512195121951,0.17318435754189945,0.22549019607843138,0.06937269372693727,0.23595505617977527,0.1827956989247312,0.4965986394557823,0.31736526946107785,0.21176470588235294,1.0
