,isolation_forest,lof,ocsvm,elliptic_envelope,dbscan,hdbscan,kmeans,gmm,autoencoder,vae,lstm_ae,hybrid_ensemble
isolation_forest,0.9999999999999999,0.7001350316133579,0.3792535388967045,0.758460324131409,0.14195936374425333,0.7499560429851948,0.5768655246369694,0.5615448565177368,0.642798324149136,0.6076954524507626,0.5667854922489993,0.4616523148115261
lof,0.7001350316133579,0.9999999999999999,0.37110480440109866,0.5607927318303548,0.15258227151151119,0.8401508362731884,0.6103923320396837,0.344739311534332,0.787437863498972,0.7441562555623027,0.5974340215835718,0.4682408466743937
ocsvm,0.3792535388967045,0.37110480440109866,0.9999999999999999,0.33322054479851887,0.09512484011233177,0.3874568620840896,0.5519153774191825,-0.05240146394332423,0.3342568184664607,0.30125695915896306,0.39774315276582184,0.3792692983359677
elliptic_envelope,0.758460324131409,0.5607927318303548,0.33322054479851887,0.9999999999999999,0.16506301480601893,0.6440824358422212,0.4622581021867502,0.503999846265105,0.4945458414015915,0.4953771485839251,0.5043918966348292,0.36501750136698935
dbscan,0.1419593637442533,0.1525822715115112,0.09512484011233177,0.16506301480601893,1.0,0.14539857545102236,0.11951889369928283,0.010021081763646208,0.116807026983298,0.10855976750373879,0.1376330800594595,0.18942698870948393
hdbscan,0.7499560429851948,0.8401508362731885,0.3874568620840896,0.6440824358422212,0.1453985754510224,1.0,0.7823648020192778,0.3336745418934025,0.7038020608623818,0.7127454157263026,0.7143742033206024,0.46176992937726447
kmeans,0.5768655246369694,0.6103923320396837,0.5519153774191825,0.4622581021867502,0.11951889369928284,0.7823648020192778,0.9999999999999999,0.052095726274995105,0.4659730583230213,0.5104958201099687,0.6309186713454763,0.41135392477745414
gmm,0.5615448565177368,0.344739311534332,-0.05240146394332423,0.503999846265105,0.010021081763646208,0.3336745418934025,0.052095726274995105,0.9999999999999999,0.43190914023629723,0.37284058350011584,0.23432933279501175,0.1751845860662989
autoencoder,0.642798324149136,0.787437863498972,0.3342568184664607,0.4945458414015915,0.116807026983298,0.7038020608623818,0.4659730583230213,0.43190914023629723,0.9999999999999999,0.8006912889053598,0.5700624974694118,0.4248564190414892
vae,0.6076954524507626,0.7441562555623027,0.30125695915896306,0.4953771485839251,0.10855976750373879,0.7127454157263025,0.5104958201099687,0.37284058350011584,0.8006912889053598,0.9999999999999999,0.5873046793918442,0.3873451695563768
lstm_ae,0.5667854922489993,0.5974340215835718,0.39774315276582184,0.5043918966348292,0.1376330800594595,0.7143742033206024,0.6309186713454763,0.23432933279501175,0.5700624974694118,0.5873046793918442,1.0,0.37342914543957956
hybrid_ensemble,0.4616523148115261,0.4682408466743937,0.3792692983359676,0.36501750136698935,0.18942698870948393,0.46176992937726447,0.41135392477745414,0.1751845860662989,0.42485641904148913,0.3873451695563768,0.3734291454395795,1.0
