TransactionID,AccountID,score_isolation_forest,score_lof,score_ocsvm,score_elliptic_envelope,score_dbscan,score_hdbscan,score_kmeans,score_gmm,hybrid_vote_count,flag_isolation_forest,flag_lof,flag_ocsvm,flag_elliptic_envelope,flag_dbscan,flag_hdbscan,flag_kmeans,flag_gmm,flag_hybrid_ensemble
TX001313,AC00001,-0.0867419476829656,-0.1905118068928772,-0.6308794286866206,-464.2651871236505,0.0,0.2041125088753441,5.599163424330221,-70.82687532133895,0,0,0,0,0,0,0,0,0,0
TX002017,AC00001,-0.0710926515283468,-0.2140933369762434,-1.6468811307131226,-441.2059522691719,0.0,0.3535007901888135,6.721942438755399,-55.93486475792355,0,0,0,0,0,0,1,0,0,0
TX002121,AC00002,-0.0839240571680431,-0.1696024475005806,-1.937968992152692,-469.33018098384485,1.1920928955078125e-07,0.3163112708527672,6.637163358562189,-77.96161297207593,0,0,0,0,0,0,0,0,0,0
TX000021,AC00002,-0.0651768543105064,-0.2274464444482358,-0.9841893419073456,-467.0431229697819,0.0,0.3780247630922831,8.823039199843118,-63.92112566470857,0,0,0,0,0,0,1,0,0,0
TX001477,AC00002,-0.0979988967781357,-0.221833317340639,-1.9748746591353736,-459.8155141730011,0.0,0.1873931593151679,3.5213707812280384,-19.256604940672577,0,0,0,0,0,0,0,0,0,0
TX000062,AC00002,-0.0398908379859913,-0.1663092106207793,-1.5922278799210048,-382.9399567150291,0.0,0.3731187629918878,4.214422639459804,14.263671989427078,1,0,0,0,0,0,1,0,1,0
TX001599,AC00002,-0.0865294572418765,-0.2577310677298936,-2.089975490296844,-461.8491741739792,8.429369702178808e-08,0.15419449500978,3.932592958552066,-25.425051414409527,0,0,0,0,0,0,0,0,0,0
TX001674,AC00002,-0.1084736873049112,-0.2585456894205618,-2.692336296860679,-474.402447535153,0.0,0.0318497674719101,3.1728966216287167,-27.72945948384847,0,0,0,0,0,0,0,0,0,0
TX001029,AC00002,-0.0242029922562991,-0.0441694975980091,-1.9628372654248916,-251.56956895509697,0.0,0.4912258029864323,5.845100120275034,24.9794423192379,1,0,0,0,0,0,1,0,1,0
TX002326,AC00003,-0.1071744570458428,-0.2651201940601551,-0.7193740770868864,-475.4793671219944,0.0,0.0306566488733353,5.8250164868276295,-80.05662165896334,0,0,0,0,0,0,0,0,0,0
TX001841,AC00003,-0.0611380383791085,-0.2229321080361068,-0.3357873905236541,-177.77599722296458,0.0,0.4976316456877406,7.078781879811643,-56.38975246334213,0,0,0,0,0,0,1,0,0,0
TX002363,AC00003,-0.0558444705085842,-0.187747302150842,-1.9603364957736356,-406.0754688403826,8.429369702178808e-08,0.3446406680280088,4.8241676390564185,-16.646749603357012,0,0,0,0,0,0,1,0,0,0
TX001904,AC00003,-0.0940770907512708,-0.2625527354164977,-2.618499464932599,-471.96562397300016,5.960464477539064e-08,0.1049135428950346,3.3125534685588,-26.176946572623525,0,0,0,0,0,0,0,0,0,0
TX002248,AC00003,-0.0909557523620612,-0.2245103166951245,-2.5790071603704483,-369.1959723756436,0.0,0.1775625233738388,3.6421670146585634,-12.983460301463897,0,0,0,0,0,0,0,0,0,0
TX001851,AC00004,-0.1032763069406385,-0.2625233341948507,-0.920372614715662,-475.53970976732,0.0,0.0604687998587159,5.693413456993757,-79.15497211753748,0,0,0,0,0,0,0,0,0,0
TX000707,AC00004,0.0441686620694957,0.8546435756727673,6.684558580611771,5758.738085890875,28.278961930181065,0.9044526944728424,40.793022895539,-125.12633744129197,2,1,1,1,1,1,1,1,0,1
TX001648,AC00004,-0.0595488504993018,-0.2519812976055386,-1.842689724891672,-460.62482906526174,0.0,0.0946706441134473,3.6390740663439742,-24.028623214501117,0,0,0,0,0,0,0,0,0,0
TX000223,AC00004,-0.1004871565743962,-0.2441266122322465,-2.553498827889273,-464.0516482018995,0.0,0.1154498915042464,3.978188674354764,-26.6331445353615,0,0,0,0,0,0,0,0,0,0
TX002442,AC00004,-0.0905882140874231,-0.2423837249332254,-2.0221562522622314,-418.5397479994172,0.0,0.1304738190677375,3.752999316342908,-23.38429367969719,0,0,0,0,0,0,0,0,0,0
TX002391,AC00004,-0.106448443899941,-0.2696149329442827,-1.8155950601892137,-455.04549309578834,0.0,0.0,3.081975839987208,-25.34959551276737,0,0,0,0,0,0,0,0,0,0
TX001820,AC00004,-0.0706848518037279,-0.1714465200316255,-2.0394585991967062,-460.876319288376,8.429369702178808e-08,0.377935664549056,4.919785598410566,-22.217159822785536,0,0,0,0,0,0,1,0,0,0
TX002328,AC00004,-0.0690609804643425,-0.2389938203719772,-1.794676055023908,-444.8045798892244,0.0,0.1088034823193303,4.090248678539182,-22.60421757073424,0,0,0,0,0,0,0,0,0,0
TX000245,AC00004,-0.0450649332456566,-0.1945276140863043,-0.8741509672408281,-412.01954671729015,0.0,0.1993404032629135,4.288353075886022,-20.34599432409625,0,0,0,0,0,0,0,0,0,0
TX002315,AC00005,-0.105072118710679,-0.2607474231383508,-1.6352874172455998,-479.251596439437,0.0,0.0659831341872797,3.910315562611498,-79.72179633128748,0,0,0,0,0,0,0,0,0,0
TX000944,AC00005,-0.0328287474237519,-0.2058024204517961,-1.774627124362958,-413.67079967655576,0.0,0.4013932110558204,6.593790125526616,6.809752315340685,0,0,0,0,0,0,1,0,0,0
TX001792,AC00005,-0.0581499934303112,-0.256202383230667,-2.045573919231796,-364.3541096687718,0.0,0.5000977256201861,9.757456312849202,48.538004200778175,1,0,0,0,0,0,1,0,1,0
TX000547,AC00005,-0.0971364915447002,-0.2133387647873486,-3.289538361155115,-466.6574771225489,8.429369702178808e-08,0.3317557794360655,3.2632358085668747,-24.61386883544727,0,0,0,0,0,0,1,0,0,0
TX000760,AC00005,-0.0715970648998886,-0.0934710669088478,-2.7847943237198862,-361.33836610277217,0.0,0.4342110039359836,4.579414154679302,-14.456945017727495,0,0,0,0,0,0,1,0,0,0
TX000195,AC00005,-0.1017090484600747,-0.2355724675856574,-3.1616745641759465,-423.1945720120092,5.960464477539064e-08,0.0944500164229519,3.178108959217797,-25.60196754428394,0,0,0,0,0,0,0,0,0,0
TX001971,AC00005,-0.0670770241717769,-0.1925006608057142,-2.4203244346974984,-387.0323176121472,8.429369702178808e-08,0.3397809444887638,4.117885930466531,-18.993090564426826,0,0,0,0,0,0,1,0,0,0
TX002083,AC00005,-0.0519418114621217,-0.1683324154332597,-2.147998921550601,-448.1724824381773,0.0,0.3245214129023175,3.9197041101114887,-22.208064217923017,0,0,0,0,0,0,1,0,0,0
TX001038,AC00005,-0.0577709512787324,-0.1984055939759432,-1.878394068188861,-437.9877481843364,0.0,0.3226968431843321,4.001279362699131,-20.23283379077936,0,0,0,0,0,0,1,0,0,0
TX000662,AC00006,-0.1268159788262129,-0.2666881838506937,-1.80618612320858,-476.107596248638,0.0,0.1035752349703447,3.7458655403794503,-78.93929653960521,0,0,0,0,0,0,0,0,0,0
TX000216,AC00006,-0.0919644829016219,-0.1330752317583199,-1.5561449337805031,-461.3863388229903,0.0,0.3755845592795666,4.418468067429365,-58.31364193352601,0,0,0,0,0,0,1,0,0,0
TX001406,AC00006,-0.0756548620619659,-0.1733545414575819,-3.17811117035569,-458.1947310005131,0.0,0.4174141706180045,6.7335297512175565,-17.910762183014352,0,0,0,0,0,0,1,0,0,0
TX001977,AC00006,-0.0304870004329599,-0.2154855274829299,-2.133131249765769,-438.4458658193892,0.0,0.3293731204412732,3.577337737236877,-15.703715589202194,0,0,0,0,0,0,1,0,0,0
TX000077,AC00007,-0.1123327486853081,-0.2386496962068851,-2.1653225759705155,-482.6752605905039,0.0,0.0652710363179326,3.7633782265465183,-81.845431039546,0,0,0,0,0,0,0,0,0,0
TX000839,AC00007,-0.0541293358899928,-0.1937190651562268,-0.9431838163158464,-434.17669955780497,1.6858739404357617e-07,0.4915692869008743,5.528007494085829,-57.92295850080551,0,0,0,0,0,0,1,0,0,0
TX000977,AC00007,-0.1133420619948485,-0.224219485029854,-3.0684957735886567,-467.0777981014413,0.0,0.3249026524603467,3.599812638493515,-26.45332872873823,0,0,0,0,0,0,1,0,0,0
TX001336,AC00007,-0.081035424379402,-0.2320137510259181,-2.622082622680068,-463.6514269649225,0.0,0.1677297760475178,3.731041845982484,-23.206744300060876,0,0,0,0,0,0,0,0,0,0
TX001579,AC00007,-0.1097296515572568,-0.2618157632313966,-2.35110914336601,-468.2966828459585,5.960464477539064e-08,0.0,3.2840240413180184,-26.929352416218997,0,0,0,0,0,0,0,0,0,0
TX002005,AC00008,-0.1065531525768478,-0.1904449876734844,-1.087280037842092,-468.3433880362898,0.0,0.2297337921409512,4.989604156727007,-73.91530340399049,0,0,0,0,0,0,0,0,0,0
TX002512,AC00009,-0.0763324296490334,-0.2243421977914406,0.149062042527273,26.234906059247407,0.0,0.5022178140991614,8.288353723409468,-67.2162592380835,0,0,0,1,1,0,1,0,0,0
TX002048,AC00009,-0.0761562615083376,-0.1985139573173739,-1.9967899676643943,-401.8490009704921,8.429369702178808e-08,0.1996469298814828,5.67811909757037,-57.047147863681445,0,0,0,0,0,0,0,0,0,0
TX000868,AC00009,-0.0735022352022467,-0.2006719130293637,-1.8716408961091275,-470.3569234371624,0.0,0.1896746809611954,3.80937831939828,-23.01246942696052,0,0,0,0,0,0,0,0,0,0
TX000840,AC00009,-0.0549430417912668,-0.1810069062834109,-1.9440113736643452,-136.96746656974938,0.0,0.3492221140018415,3.662880371714433,11.312333810135351,0,0,0,0,0,0,1,0,0,0
TX000279,AC00009,-0.0789827406650469,-0.2125053713283964,-1.214973429975279,-457.41181982376713,0.0,0.3391057399257457,5.329735987266922,-21.59453904245007,0,0,0,0,0,0,1,0,0,0
TX002367,AC00010,-0.0802969709956486,-0.1907838613963848,-0.6595651476735345,-402.9937503612431,0.0,0.4763000764078997,9.821564785280996,-75.66164177563829,0,0,0,0,0,0,1,0,0,0
TX001737,AC00010,-0.1159123367156928,-0.2252669721189895,-1.297805339901764,-470.6516242082003,1.1920928955078125e-07,0.1907712262883454,5.817423373099793,-62.97320214728134,0,0,0,0,0,0,0,0,0,0
TX001760,AC00010,-0.0029974815854104,-0.1407446730078629,-1.8557242651485344,-420.2953561103736,0.0,0.5228636972699728,7.630832840569596,9.131488082503608,0,0,0,0,0,0,1,0,0,0
TX001168,AC00010,-0.0512413106059228,-0.083932775754776,-1.5510467206663154,-409.2817682943016,0.0,0.4153963633679705,5.657312217201288,-14.589849652724514,0,0,0,0,0,0,1,0,0,0
TX000096,AC00010,-0.0080241769253667,-0.1212337172196185,-1.9912819491232236,-261.4520066747013,0.0,0.4084819274789303,5.02618906317714,34.77748713600249,1,0,0,0,0,0,1,0,1,0
TX000180,AC00010,-0.0163293792655018,-0.0670973485173662,-1.3777980716496838,71.10469633158965,0.0,0.4758661072535524,5.889812059130271,8.035768143457826,0,0,0,0,1,0,1,0,0,0
TX000202,AC00010,-0.0520336247459846,-0.2293565748093315,-1.4012303846753724,-449.2328561434418,0.0,0.1661954519231651,4.407635009943838,-22.978546831730792,0,0,0,0,0,0,0,0,0,0
TX000694,AC00011,-0.0200321311898632,-0.0840883890999244,-0.0001549074221767,-406.3886786590192,0.0,0.5424992146299,7.573098313228457,-57.96899930208988,0,0,0,0,0,0,1,0,0,0
TX000735,AC00011,-0.0491844686368531,-0.2639105996066595,-0.7019167028118822,-447.3275744985162,0.0,0.3899208213858493,13.416835722566836,-64.10089175134867,0,0,0,0,0,0,1,1,0,0
TX001015,AC00011,-0.0256831137307249,-0.0543802934189441,-1.3252491804660842,-250.83364598462268,1.1920928955078125e-07,0.5035014322958169,6.431801836540479,-6.568436619480903,0,0,0,0,0,0,1,0,0,0
TX000098,AC00011,-0.0742737262214514,-0.1356183225202867,-2.0085655134968565,-423.19655033914376,0.0,0.4103919532679164,4.9297698491554485,-15.230982497105462,0,0,0,0,0,0,1,0,0,0
