feature,method_pair,jaccard,intersection_count
TransactionAmount,IQR vs ZScore,0.425,48
TransactionAmount,IQR vs ModifiedZScore,0.885,100
TransactionAmount,IQR vs Percentile_1_99,0.187,26
TransactionAmount,ZScore vs ModifiedZScore,0.48,48
TransactionAmount,ZScore vs Percentile_1_99,0.351,26
TransactionAmount,ModifiedZScore vs Percentile_1_99,0.206,26
TransactionAmount,IQR vs IsolationForest_joint,0.219,43
TransactionAmount,ZScore vs IsolationForest_joint,0.243,34
TransactionAmount,ModifiedZScore vs IsolationForest_joint,0.228,42
TransactionAmount,Percentile_1_99 vs IsolationForest_joint,0.163,25
CustomerAge,IQR vs ZScore,1.0,0
CustomerAge,IQR vs ModifiedZScore,1.0,0
CustomerAge,IQR vs Percentile_1_99,0.0,0
CustomerAge,ZScore vs ModifiedZScore,1.0,0
CustomerAge,ZScore vs Percentile_1_99,0.0,0
CustomerAge,ModifiedZScore vs Percentile_1_99,0.0,0
CustomerAge,IQR vs IsolationForest_joint,0.0,0
CustomerAge,ZScore vs IsolationForest_joint,0.0,0
CustomerAge,ModifiedZScore vs IsolationForest_joint,0.0,0
CustomerAge,Percentile_1_99 vs IsolationForest_joint,0.029,4
TransactionDuration,IQR vs ZScore,1.0,0
TransactionDuration,IQR vs ModifiedZScore,1.0,0
TransactionDuration,IQR vs Percentile_1_99,0.0,0
TransactionDuration,ZScore vs ModifiedZScore,1.0,0
TransactionDuration,ZScore vs Percentile_1_99,0.0,0
TransactionDuration,ModifiedZScore vs Percentile_1_99,0.0,0
TransactionDuration,IQR vs IsolationForest_joint,0.0,0
TransactionDuration,ZScore vs IsolationForest_joint,0.0,0
TransactionDuration,ModifiedZScore vs IsolationForest_joint,0.0,0
TransactionDuration,Percentile_1_99 vs IsolationForest_joint,0.035,6
LoginAttempts,IQR vs ZScore,0.779,95
LoginAttempts,IQR vs ModifiedZScore,1.0,122
LoginAttempts,IQR vs Percentile_1_99,0.0,0
LoginAttempts,ZScore vs ModifiedZScore,0.779,95
LoginAttempts,ZScore vs Percentile_1_99,0.0,0
LoginAttempts,ModifiedZScore vs Percentile_1_99,0.0,0
LoginAttempts,IQR vs IsolationForest_joint,0.512,84
LoginAttempts,ZScore vs IsolationForest_joint,0.535,77
LoginAttempts,ModifiedZScore vs IsolationForest_joint,0.512,84
LoginAttempts,Percentile_1_99 vs IsolationForest_joint,0.0,0
AccountBalance,IQR vs ZScore,1.0,0
AccountBalance,IQR vs ModifiedZScore,1.0,0
AccountBalance,IQR vs Percentile_1_99,0.0,0
AccountBalance,ZScore vs ModifiedZScore,1.0,0
AccountBalance,ZScore vs Percentile_1_99,0.0,0
AccountBalance,ModifiedZScore vs Percentile_1_99,0.0,0
AccountBalance,IQR vs IsolationForest_joint,0.0,0
AccountBalance,ZScore vs IsolationForest_joint,0.0,0
AccountBalance,ModifiedZScore vs IsolationForest_joint,0.0,0
AccountBalance,Percentile_1_99 vs IsolationForest_joint,0.029,5
