scaler,feature,skew,excess_kurtosis,min,max,iqr_over_range
raw,TransactionAmount,1.7391,3.6334,0.26,1919.11,0.17336
raw,AccountBalance,0.6008,-0.566,101.25,14977.99,0.41504
raw,TransactionDuration,0.5991,-0.2606,10.0,300.0,0.33793
raw,CustomerAge,0.1478,-1.2241,18.0,80.0,0.51613
raw,Expanding_MeanAmount,1.6533,6.3891,0.86,1512.99,0.10434
raw,Expanding_MedianAmount,2.0645,7.2279,0.86,1512.99,0.11091
raw,Expanding_StdAmount,1.3476,2.1357,0.0,1061.1127,0.23341
raw,Expanding_MaxAmount,0.8339,-0.7254,0.86,1919.11,0.40857
raw,Rolling3_MeanAmount,1.5435,4.9088,0.86,1512.99,0.11866
raw,Amount_to_Balance_Ratio,6.7503,63.7964,0.0,7.896,0.01691
raw,Amount_to_RollingMean_Ratio,19.1798,459.2432,0.0006,250.9299,0.00589
raw,Amount_minus_ExpandingMean,0.8885,2.2413,-1351.68,1734.61,0.12076
raw,Amount_ZScore_Account,0.9296,10.0926,-92.5979,102.8025,0.01895
raw,TimeSinceLastTxn,1.9338,4.6033,0.0,7512.0833,0.1405
raw,SpendCV_Account,0.2725,-1.2771,0.0,1.7515,0.50698
StandardScaler,TransactionAmount,1.7391,3.6334,-1.0187,5.5553,0.17336
StandardScaler,AccountBalance,0.6008,-0.566,-1.2853,2.529,0.41504
StandardScaler,TransactionDuration,0.5991,-0.2606,-1.5675,2.5784,0.33793
StandardScaler,CustomerAge,0.1478,-1.2241,-1.4995,1.9859,0.51613
StandardScaler,Expanding_MeanAmount,1.6533,6.3891,-1.7588,7.2702,0.10434
StandardScaler,Expanding_MedianAmount,2.0645,7.2279,-1.4634,7.2599,0.11091
StandardScaler,Expanding_StdAmount,1.3476,2.1357,-0.863,5.4106,0.23341
StandardScaler,Expanding_MaxAmount,0.8339,-0.7254,-1.2428,1.7682,0.40857
StandardScaler,Rolling3_MeanAmount,1.5435,4.9088,-1.6588,6.8063,0.11866
StandardScaler,Amount_to_Balance_Ratio,6.7503,63.7964,-0.3907,15.0381,0.01691
StandardScaler,Amount_to_RollingMean_Ratio,19.1798,459.2432,-0.2414,30.2707,0.00589
StandardScaler,Amount_minus_ExpandingMean,0.8885,2.2413,-3.9886,5.1039,0.12076
StandardScaler,Amount_ZScore_Account,0.9296,10.0926,-6.3306,6.9938,0.01895
StandardScaler,TimeSinceLastTxn,1.9338,4.6033,-1.0999,5.5815,0.1405
StandardScaler,SpendCV_Account,0.2725,-1.2771,-1.067,2.6567,0.50698
MinMaxScaler,TransactionAmount,1.7391,3.6334,0.0,1.0,0.17336
MinMaxScaler,AccountBalance,0.6008,-0.566,0.0,1.0,0.41504
MinMaxScaler,TransactionDuration,0.5991,-0.2606,0.0,1.0,0.33793
MinMaxScaler,CustomerAge,0.1478,-1.2241,0.0,1.0,0.51613
MinMaxScaler,Expanding_MeanAmount,1.6533,6.3891,0.0,1.0,0.10434
MinMaxScaler,Expanding_MedianAmount,2.0645,7.2279,0.0,1.0,0.11091
MinMaxScaler,Expanding_StdAmount,1.3476,2.1357,0.0,1.0,0.23341
MinMaxScaler,Expanding_MaxAmount,0.8339,-0.7254,0.0,1.0,0.40857
MinMaxScaler,Rolling3_MeanAmount,1.5435,4.9088,0.0,1.0,0.11866
MinMaxScaler,Amount_to_Balance_Ratio,6.7503,63.7964,0.0,1.0,0.01691
MinMaxScaler,Amount_to_RollingMean_Ratio,19.1798,459.2432,0.0,1.0,0.00589
MinMaxScaler,Amount_minus_ExpandingMean,0.8885,2.2413,0.0,1.0,0.12076
MinMaxScaler,Amount_ZScore_Account,0.9296,10.0926,0.0,1.0,0.01895
MinMaxScaler,TimeSinceLastTxn,1.9338,4.6033,0.0,1.0,0.1405
MinMaxScaler,SpendCV_Account,0.2725,-1.2771,0.0,1.0,0.50698
RobustScaler,TransactionAmount,1.7391,3.6334,-0.634,5.1346,0.17336
RobustScaler,AccountBalance,0.6008,-0.566,-0.7506,1.6588,0.41504
RobustScaler,TransactionDuration,0.5991,-0.2606,-1.0459,1.9133,0.33793
RobustScaler,CustomerAge,0.1478,-1.2241,-0.8438,1.0938,0.51613
RobustScaler,Expanding_MeanAmount,1.6533,6.3891,-1.8807,7.7032,0.10434
RobustScaler,Expanding_MedianAmount,2.0645,7.2279,-1.2538,7.7624,0.11091
RobustScaler,Expanding_StdAmount,1.3476,2.1357,-0.4036,3.8807,0.23341
RobustScaler,Expanding_MaxAmount,0.8339,-0.7254,-0.7469,1.7007,0.40857
RobustScaler,Rolling3_MeanAmount,1.5435,4.9088,-1.6538,6.7737,0.11866
RobustScaler,Amount_to_Balance_Ratio,6.7503,63.7964,-0.3886,58.7591,0.01691
RobustScaler,Amount_to_RollingMean_Ratio,19.1798,459.2432,-0.5389,169.1975,0.00589
RobustScaler,Amount_minus_ExpandingMean,0.8885,2.2413,-3.4945,4.7861,0.12076
RobustScaler,Amount_ZScore_Account,0.9296,10.0926,-24.9022,27.8567,0.01895
RobustScaler,TimeSinceLastTxn,1.9338,4.6033,-0.887,6.2305,0.1405
RobustScaler,SpendCV_Account,0.2725,-1.2771,-0.6087,1.3638,0.50698
QuantileTransformer_normal,TransactionAmount,-0.0059,0.397,-5.1993,5.1993,0.12988
QuantileTransformer_normal,AccountBalance,-0.0053,0.3899,-5.1993,5.1993,0.12963
QuantileTransformer_normal,TransactionDuration,-0.1542,1.4838,-5.1993,5.1993,0.12897
QuantileTransformer_normal,CustomerAge,-0.8832,5.8282,-5.1993,5.1993,0.13188
QuantileTransformer_normal,Expanding_MeanAmount,0.0053,0.4132,-5.1993,5.1993,0.12972
QuantileTransformer_normal,Expanding_MedianAmount,0.0067,0.4138,-5.1993,5.1993,0.12977
QuantileTransformer_normal,Expanding_StdAmount,-0.3667,-1.7019,-5.1993,5.1993,0.56488
QuantileTransformer_normal,Expanding_MaxAmount,1.1719,-0.0627,-5.1993,5.1993,0.12988
QuantileTransformer_normal,Rolling3_MeanAmount,0.0049,0.4132,-5.1993,5.1993,0.12973
QuantileTransformer_normal,Amount_to_Balance_Ratio,-0.0065,0.4023,-5.1993,5.1993,0.1297
QuantileTransformer_normal,Amount_to_RollingMean_Ratio,0.0002,0.3775,-5.1993,5.1993,0.12968
QuantileTransformer_normal,Amount_minus_ExpandingMean,-0.0031,0.3777,-5.1993,5.1993,0.12978
QuantileTransformer_normal,Amount_ZScore_Account,0.0052,0.4134,-5.1993,5.1993,0.12976
QuantileTransformer_normal,TimeSinceLastTxn,-0.001,0.409,-5.1993,5.1993,0.1297
QuantileTransformer_normal,SpendCV_Account,-0.3675,-1.7032,-5.1993,5.1993,0.56486
QuantileTransformer_uniform,TransactionAmount,0.0,-1.2,0.0,1.0,0.50052
QuantileTransformer_uniform,AccountBalance,-0.0,-1.2,0.0,1.0,0.4997
QuantileTransformer_uniform,TransactionDuration,0.0001,-1.1999,0.0,1.0,0.4975
QuantileTransformer_uniform,CustomerAge,-0.0037,-1.1941,0.0,1.0,0.50701
QuantileTransformer_uniform,Expanding_MeanAmount,-0.0042,-1.1743,0.0,1.0,0.49997
QuantileTransformer_uniform,Expanding_MedianAmount,0.0019,-1.173,0.0,1.0,0.50013
QuantileTransformer_uniform,Expanding_StdAmount,-0.0538,-1.5762,0.0,1.0,0.75005
QuantileTransformer_uniform,Expanding_MaxAmount,0.1678,-1.1508,0.0,1.0,0.5005
QuantileTransformer_uniform,Rolling3_MeanAmount,-0.0049,-1.1748,0.0,1.0,0.50001
QuantileTransformer_uniform,Amount_to_Balance_Ratio,-0.0,-1.2,0.0,1.0,0.49991
QuantileTransformer_uniform,Amount_to_RollingMean_Ratio,-0.0,-1.2,0.0,1.0,0.49986
QuantileTransformer_uniform,Amount_minus_ExpandingMean,-0.0,-1.2,0.0,1.0,0.50017
QuantileTransformer_uniform,Amount_ZScore_Account,-0.0001,-1.2,0.0,1.0,0.50013
QuantileTransformer_uniform,TimeSinceLastTxn,0.0,-1.1725,0.0,1.0,0.4999
QuantileTransformer_uniform,SpendCV_Account,-0.0538,-1.5762,0.0,1.0,0.74998
