feature,std_pct_change_top1pct_trim,range_pct_change_top1pct_trim,iqr_pct_change_top1pct_trim
TransactionAmount,9.5,29.14,2.57
AccountBalance,2.75,3.39,1.24
TransactionDuration,2.84,3.1,1.02
CustomerAge,1.02,1.61,0.0
Expanding_MeanAmount,12.03,44.06,2.12
Expanding_MedianAmount,12.94,43.27,4.66
Expanding_StdAmount,8.23,35.15,2.98
Expanding_MaxAmount,0.0,0.0,0.0
Rolling3_MeanAmount,10.52,42.65,3.2
Amount_to_Balance_Ratio,39.21,71.06,4.99
Amount_to_RollingMean_Ratio,76.5,93.71,2.87
Amount_minus_ExpandingMean,7.29,20.57,1.74
Amount_ZScore_Account,13.44,25.19,3.43
TimeSinceLastTxn,10.55,28.1,4.42
SpendCV_Account,2.23,15.32,0.72
