feature,mean_abs_shap_isolation_forest,mean_abs_shap_autoencoder,rank_isolation_forest,rank_autoencoder
TransactionType_Debit,0.17603400149738238,0.004322840828518555,1,35
CustomerOccupation_Retired,0.1524353392432158,0.004651504955472647,2,34
CustomerOccupation_Engineer,0.1425826340457357,0.0037870354033079784,3,36
CustomerOccupation_Student,0.13928083109430806,0.0029342855052503962,4,38
LocationNoveltyFlag,0.12474251639575577,0.00227611525180295,5,42
Channel_Online,0.10835563365997579,0.002748204016189372,6,40
TimeSinceLastTxn,0.10024885408729582,0.026792713570607304,7,5
Channel_Branch,0.10006864307439789,0.0030248221858111073,8,37
Location_Freq,0.09469797287114691,0.014683597759819214,9,13
Hour_cos,0.09223853100944976,0.008111434716049849,10,20
DOW_sin,0.08652280030997046,0.006389395467857162,11,27
DeviceTxnCount,0.0857899867839693,0.008046005797668213,12,21
TransactionDuration,0.08458915257258039,0.010096836264019459,13,17
DeviceSharedAccounts_Prior,0.08165884319682334,0.005732641922293707,14,32
Velocity_7D_Count,0.07994683881262236,0.002877912505444311,15,39
Amount_minus_ExpandingMean,0.07861235105881735,0.006306335366925841,16,28
Amount_vs_AccountAvg,0.07544053164102742,0.03903314831165228,17,1
ElevatedLoginFlag,0.07504762122147769,0.0019808966051417646,18,43
IPSharedAccounts_Prior,0.07192131073873194,0.012239992186641888,19,14
Rolling3_MeanAmount,0.07138128682778712,0.014998901732146049,20,11
CustomerTxnCountSoFar,0.07093090405049156,0.007953248755604124,21,22
IPTxnCount,0.06986354984033057,0.020062842788556412,22,6
TransactionAmount,0.06917953259317548,0.007602802485883471,23,24
Amount_vs_TypeAvg,0.06865908893356651,0.007802960892262065,24,23
Rolling3_StdAmount,0.057270449620527665,0.01151101192113953,25,15
Expanding_MeanAmount,0.05701000589413278,0.017892167894277826,26,8
LoginAttempts,0.05666702918793537,0.01608460626110054,27,10
MerchantTxnCount,0.05517943064651526,0.014735595113791397,28,12
ATM_Credit_InteractionFlag,0.05455099729446333,0.0013957126073304675,29,44
CustomerAge,0.05408924677291571,0.004936604804718881,30,33
Location_enc,0.05402691494962283,0.005928548748671891,31,30
Amount_ZScore_Account,0.05326962999707248,0.036689156776953405,32,2
Amount_to_Balance_Ratio,0.05281716236211994,0.036674429089912565,33,3
MerchantSharedAccounts_Prior,0.05157188084747667,0.006663197243556761,34,26
Expanding_MedianAmount,0.050765567654017005,0.01737287683818311,35,9
Amount_minus_ExpandingMedian,0.04996096672685324,0.007117908849746543,36,25
AccountBalance,0.04751412042660885,0.008403484369376782,37,19
Hour_sin,0.04745172632337087,0.0057668772577583,38,31
SpendCV_Account,0.04638843428951358,0.006020512129506232,39,29
Expanding_MaxAmount,0.04634796631683237,0.010544241237191922,40,16
Expanding_StdAmount,0.04589716709741069,0.009634305228460309,41,18
Amount_to_RollingMean_Ratio,0.044905204271648125,0.03601713241969897,42,4
Expanding_MinAmount,0.04077467306923738,0.01990188163815705,43,7
Velocity_1D_Count,0.030506312717478768,0.0009503262590429436,44,45
DOW_cos,0.021890949732898474,0.0022858756651877215,45,41
DeviceNoveltyFlag,0.007654072903505987,0.00010873695786688639,46,46
