TransactionID,AccountID,reconstruction_mse,reconstruction_mae,split
TX000001,AC00128,0.25224873,0.36670864,train
TX000002,AC00455,0.16353396,0.29469636,train
TX000003,AC00019,0.3727728,0.49758136,train
TX000004,AC00070,0.2431503,0.42167515,train
TX000005,AC00411,0.346187,0.45788732,train
TX000006,AC00393,0.2449486,0.40214837,train
TX000007,AC00199,0.4871963,0.4883401,train
TX000008,AC00069,0.38806552,0.4697477,train
TX000009,AC00135,0.26516646,0.3883673,train
TX000010,AC00385,0.11680147,0.28279114,train
TX000011,AC00150,0.51155084,0.50265956,train
TX000012,AC00459,0.178235,0.35859898,train
TX000013,AC00392,0.19861254,0.36288822,train
TX000014,AC00264,0.10817838,0.24519438,train
TX000015,AC00085,0.18369633,0.3413924,train
TX000016,AC00270,0.37383583,0.46996075,train
TX000017,AC00317,0.15117471,0.31884617,train
TX000018,AC00359,0.24087088,0.3622117,train
TX000019,AC00242,0.53366494,0.48501384,train
TX000020,AC00285,0.2405168,0.40078062,train
TX000021,AC00002,0.31439093,0.428684,train
TX000022,AC00014,0.18754327,0.33126622,train
TX000023,AC00095,0.32648712,0.40768582,train
TX000024,AC00453,0.28763983,0.4140811,train
TX000025,AC00241,0.39847958,0.49941587,train
TX000026,AC00041,0.41628104,0.50019276,val
TX000027,AC00441,0.15259705,0.32017058,train
TX000028,AC00057,0.21331507,0.3817495,train
TX000029,AC00390,0.20262663,0.37102407,train
TX000030,AC00313,0.39679658,0.48825565,val
TX000031,AC00367,0.22384106,0.40778378,train
TX000032,AC00291,0.2455759,0.36163527,train
TX000033,AC00060,0.14653465,0.30827135,train
TX000034,AC00359,0.1428542,0.2424937,train
TX000035,AC00365,0.27531803,0.4065701,train
TX000036,AC00267,0.28228015,0.39844722,train
TX000037,AC00404,0.22559041,0.40097308,train
TX000038,AC00202,0.40446505,0.4309053,train
TX000039,AC00478,0.209033,0.31321913,train
TX000040,AC00405,0.50984126,0.5381035,train
TX000041,AC00421,0.2686564,0.3794669,train
TX000042,AC00480,0.4823855,0.5198804,train
TX000043,AC00120,0.22822571,0.34347466,train
TX000044,AC00117,0.612307,0.6169014,val
TX000045,AC00011,0.352694,0.46059942,val
TX000046,AC00401,0.19239776,0.35134628,train
TX000047,AC00282,0.24235338,0.40942284,train
TX000048,AC00439,0.24376816,0.38741583,train
TX000049,AC00296,0.17349218,0.30183345,val
TX000050,AC00471,0.26705122,0.4060434,val
TX000051,AC00159,0.23320587,0.3857414,train
TX000052,AC00482,0.32870832,0.44079638,val
TX000053,AC00115,0.2613931,0.37019065,train
TX000054,AC00055,0.13084449,0.3136265,train
TX000055,AC00419,0.18862979,0.33230588,train
TX000056,AC00374,0.0974652,0.26644188,train
TX000057,AC00271,0.21102685,0.40500587,val
TX000058,AC00456,0.46700493,0.54130006,train
TX000059,AC00143,0.15913087,0.31354153,train
TX000060,AC00427,0.26280057,0.4510592,train
TX000061,AC00438,0.19943434,0.3352341,train
TX000062,AC00002,0.30033505,0.41062713,train
TX000063,AC00425,0.24628401,0.35978943,train
TX000064,AC00325,0.387967,0.4931149,train
