n_estimators,max_samples,max_features,silhouette
50,0.3,0.5,0.33658568533662986
50,0.3,0.7,0.3347322236777528
50,0.3,1.0,0.3218393899849143
50,0.5,0.5,0.31463349416894093
50,0.5,0.7,0.3758758788820622
50,0.5,1.0,0.37587533689034636
50,0.8,0.5,0.32521776359447085
50,0.8,0.7,0.33640380741142645
50,0.8,1.0,0.41537026797338783
50,1.0,0.5,0.374522387933794
50,1.0,0.7,0.33741676013316574
50,1.0,1.0,0.3172388020449711
100,0.3,0.5,0.3122337584087276
100,0.3,0.7,0.3650378844304038
100,0.3,1.0,0.37363547655801577
100,0.5,0.5,0.3614577328543995
100,0.5,0.7,0.3660391523777615
100,0.5,1.0,0.38645925958330796
100,0.8,0.5,0.3452496576258859
100,0.8,0.7,0.3338336359565472
100,0.8,1.0,0.410183965293265
100,1.0,0.5,0.28026601696756637
100,1.0,0.7,0.33610507801515394
100,1.0,1.0,0.3431939550925093
200,0.3,0.5,0.338131107945168
200,0.3,0.7,0.39548543864281777
200,0.3,1.0,0.3704465459954729
200,0.5,0.5,0.3256209371889314
200,0.5,0.7,0.3775895615229817
200,0.5,1.0,0.39622590089679816
200,0.8,0.5,0.3641333578935321
200,0.8,0.7,0.3513253687840373
200,0.8,1.0,0.3613750183563197
200,1.0,0.5,0.34573984162735305
200,1.0,0.7,0.31253751825290804
200,1.0,1.0,0.32608036891599856
300,0.3,0.5,0.3209419101244094
300,0.3,0.7,0.3958912286474275
300,0.3,1.0,0.3264061541318252
300,0.5,0.5,0.37455683680766627
300,0.5,0.7,0.3647769519473178
300,0.5,1.0,0.4004154769684676
300,0.8,0.5,0.30595946355477577
300,0.8,0.7,0.3925088963407323
300,0.8,1.0,0.4146463664712887
300,1.0,0.5,0.34539516666453846
300,1.0,0.7,0.38657065976952654
300,1.0,1.0,0.37961120571482876
500,0.3,0.5,0.3254857179782432
500,0.3,0.7,0.30276160974892424
500,0.3,1.0,0.3497195254082693
500,0.5,0.5,0.37739092816677694
500,0.5,0.7,0.3807104781549394
500,0.5,1.0,0.3824336256944006
500,0.8,0.5,0.36072927620657125
500,0.8,0.7,0.3346634582488745
500,0.8,1.0,0.3542533234869603
500,1.0,0.5,0.2976332392991435
500,1.0,0.7,0.3494810717809843
500,1.0,1.0,0.3344016692633895
