model,n_rows_used,n_flagged_top5pct,flagged_rate,silhouette,davies_bouldin,calinski_harabasz,compute_sec
elliptic_envelope,2512,126,0.0502,0.5409,1.1529,592.47,0.35
hdbscan,2512,126,0.0502,0.4302,2.1946,180.07,0.24
dbscan,2512,126,0.0502,0.428,2.2235,173.42,0.28
ocsvm,2512,126,0.0502,0.4059,2.7692,114.55,0.31
kmeans,2512,126,0.0502,0.4003,2.4406,143.18,0.24
isolation_forest,2512,126,0.0502,0.3975,2.3227,148.28,0.32
lstm_ae,2402,121,0.0504,0.3746,2.6149,108.17,0.21
gmm,2512,126,0.0502,0.2925,2.7591,78.07,0.23
hybrid_ensemble,2512,269,0.1071,0.2774,3.913,83.91,0.29
lof,2512,126,0.0502,0.2765,4.2348,36.38,0.29
vae,2512,126,0.0502,0.2012,4.8687,22.56,0.2
autoencoder,2512,126,0.0502,0.1724,5.6806,15.73,0.24
