,isolation_forest,lof,ocsvm,elliptic_envelope,dbscan,hdbscan,kmeans,gmm,autoencoder,vae,lstm_ae,hybrid_ensemble
isolation_forest,1.0,0.1778846153846154,0.3253588516746411,0.2885572139303483,0.23376623376623376,0.35361216730038025,0.2696078431372549,0.3015075376884422,0.12121212121212122,0.13596491228070176,0.25510204081632654,0.27058823529411763
lof,0.1778846153846154,1.0,0.31958762886597936,0.07692307692307693,0.20714285714285716,0.3453815261044177,0.37572254335260113,0.16666666666666666,0.3076923076923077,0.38372093023255816,0.10552763819095477,0.6115702479338843
ocsvm,0.3253588516746411,0.31958762886597936,1.0,0.2558139534883721,0.2802547770700637,0.4448818897637795,0.42105263157894735,0.20535714285714285,0.24423963133640553,0.3170731707317073,0.21359223300970873,0.3352941176470588
elliptic_envelope,0.2885572139303483,0.07692307692307693,0.2558139534883721,1.0,0.19607843137254902,0.2783882783882784,0.18867924528301888,0.1559633027522936,0.03278688524590164,0.037037037037037035,0.2751322751322751,0.08854166666666667
dbscan,0.23376623376623376,0.20714285714285716,0.2802547770700637,0.19607843137254902,1.0,0.2556053811659193,0.38636363636363635,0.15822784810126583,0.08928571428571429,0.17307692307692307,0.19863013698630136,0.21739130434782608
hdbscan,0.35361216730038025,0.3453815261044177,0.4448818897637795,0.2783882783882784,0.2556053811659193,1.0,0.44214876033057854,0.32196969696969696,0.21602787456445993,0.30711610486891383,0.2548262548262548,0.2803347280334728
kmeans,0.2696078431372549,0.37572254335260113,0.42105263157894735,0.18867924528301888,0.38636363636363635,0.44214876033057854,1.0,0.18309859154929578,0.29896907216494845,0.3263157894736842,0.14903846153846154,0.3660130718954248
gmm,0.3015075376884422,0.16666666666666666,0.20535714285714285,0.1559633027522936,0.15822784810126583,0.32196969696969696,0.18309859154929578,1.0,0.09090909090909091,0.11504424778761062,0.2153846153846154,0.1358695652173913
autoencoder,0.12121212121212122,0.3076923076923077,0.24423963133640553,0.03278688524590164,0.08928571428571429,0.21602787456445993,0.29896907216494845,0.09090909090909091,1.0,0.38461538461538464,0.05309734513274336,0.4513888888888889
vae,0.13596491228070176,0.38372093023255816,0.3170731707317073,0.037037037037037035,0.17307692307692307,0.30711610486891383,0.3263157894736842,0.11504424778761062,0.38461538461538464,1.0,0.08755760368663594,0.375
lstm_ae,0.25510204081632654,0.10552763819095477,0.21359223300970873,0.2751322751322751,0.19863013698630136,0.2548262548262548,0.14903846153846154,0.2153846153846154,0.05309734513274336,0.08755760368663594,1.0,0.11299435028248588
hybrid_ensemble,0.27058823529411763,0.6115702479338843,0.3352941176470588,0.08854166666666667,0.21739130434782608,0.2803347280334728,0.3660130718954248,0.1358695652173913,0.4513888888888889,0.375,0.11299435028248588,1.0
