,isolation_forest,lof,ocsvm,elliptic_envelope,dbscan,hdbscan,kmeans,gmm,autoencoder,vae,lstm_ae,hybrid_ensemble
isolation_forest,0.9999999999999999,0.6650040114215022,0.6983445188278719,0.6750208173333503,0.24901024151003243,0.7191243194851609,0.7059252596949485,0.3928128480813467,0.6296027288675187,0.5995779197296224,0.5873357942535888,0.4513854919410178
lof,0.6650040114215022,0.9999999999999999,0.7211207986685263,0.6556103302739308,0.16100351732747936,0.8142713918385206,0.8383303101902813,0.5366571535024244,0.810596443140745,0.8385808676735681,0.6393919918241913,0.4267846010425514
ocsvm,0.6983445188278719,0.7211207986685263,0.9999999999999999,0.7606461702512761,0.2589973806956771,0.7685588614717833,0.803271927828589,0.4645348279231008,0.7391816597819181,0.7674481169725764,0.706529809834055,0.46319835883618093
elliptic_envelope,0.6750208173333503,0.6556103302739308,0.7606461702512761,0.9999999999999999,0.2560376184591257,0.8256082355556589,0.7236676256353143,0.6218926185196095,0.5207046849674968,0.5459966828569025,0.612066503574102,0.4278975336175973
dbscan,0.24901024151003243,0.16100351732747933,0.2589973806956771,0.2560376184591257,1.0,0.26788843574417254,0.27459918851842513,0.2265463919232896,0.15310513559092614,0.160310969422991,0.24796199015105577,0.33187738489736857
hdbscan,0.7191243194851609,0.8142713918385207,0.7685588614717833,0.8256082355556588,0.26788843574417254,1.0,0.8317595037211675,0.5660283377227244,0.671289724201914,0.7021184349557137,0.6591078391429119,0.49140058050522734
kmeans,0.7059252596949485,0.8383303101902813,0.803271927828589,0.7236676256353143,0.27459918851842513,0.8317595037211674,0.9999999999999999,0.5473084444145018,0.7483641091308953,0.744814090659355,0.6664773343694806,0.48906820710823473
gmm,0.3928128480813467,0.5366571535024244,0.4645348279231008,0.6218926185196095,0.22654639192328957,0.5660283377227244,0.5473084444145018,0.9999999999999999,0.3638716931822325,0.41910895622498584,0.4035381576564527,0.394672395198985
autoencoder,0.6296027288675187,0.810596443140745,0.7391816597819181,0.5207046849674967,0.15310513559092614,0.671289724201914,0.7483641091308955,0.3638716931822325,0.9999999999999999,0.8370332052614858,0.605427650844946,0.38583692751173443
vae,0.5995779197296224,0.8385808676735681,0.7674481169725764,0.5459966828569025,0.160310969422991,0.7021184349557137,0.744814090659355,0.41910895622498584,0.8370332052614858,0.9999999999999999,0.6943496555981316,0.3940247042061652
lstm_ae,0.5873357942535888,0.6393919918241913,0.706529809834055,0.612066503574102,0.24796199015105577,0.659107839142912,0.6664773343694806,0.4035381576564527,0.605427650844946,0.6943496555981316,1.0,0.3953066417467123
hybrid_ensemble,0.4513854919410178,0.4267846010425514,0.4631983588361809,0.42789753361759736,0.3318773848973686,0.49140058050522734,0.4890682071082347,0.394672395198985,0.38583692751173443,0.39402470420616514,0.3953066417467123,1.0
