TransactionID,AccountID,score_isolation_forest,score_lof,score_ocsvm,score_elliptic_envelope,score_dbscan,score_hdbscan,score_kmeans,score_gmm,score_autoencoder,score_vae,score_lstm_ae,lstm_ae_applicable,hybrid_vote_count,flag_isolation_forest,flag_lof,flag_ocsvm,flag_elliptic_envelope,flag_dbscan,flag_hdbscan,flag_kmeans,flag_gmm,flag_autoencoder,flag_vae,flag_lstm_ae,flag_hybrid_ensemble
TX000001,AC00128,-0.104170344699668,-0.179812377388993,-2.931854958852367,-88.18917805675943,0.0,0.2138296853920761,1.7385351833068283,-6.218068838854906,0.25224873,0.26736394,0.4663926362991333,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000002,AC00455,-0.1251201498869405,-0.2561954054083535,-2.946103857849807,-98.16991422249752,0.0,0.052732563189858,1.5298295010706848,-8.364599184156825,0.16353396,0.21920033,0.2189798653125763,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000003,AC00019,-0.0946114983204508,-0.2498393570368955,-3.522535197566006,-101.06324343710524,4.214684851089404e-08,0.0153722963112688,1.88131605689394,-15.233148475142457,0.3727728,0.2454007,0.26683545112609863,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000004,AC00070,-0.0718895826121633,-0.1706252953443618,-2.6741889158726293,-90.421143599111,4.214684851089404e-08,0.3443091239630959,2.0001714679257043,-10.960524185606134,0.2431503,0.42734602,0.3497542142868042,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000005,AC00411,-0.0208849158304978,-0.1760100854898669,-2.357148425768366,-86.56354017513867,0.0,0.3151374151907459,2.1762501056146246,7.541764352422647,0.346187,0.3447836,0.3590599596500397,1,0,0,0,0,0,0,0,0,1,0,0,0,0
TX000006,AC00393,-0.0970597438998095,-0.2562969851885425,-3.0038282780937378,-101.22622045983444,0.0,0.0355948554440031,1.4650383719414917,-15.150771436570444,0.2449486,0.24817617,0.22917138040065765,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000007,AC00199,-0.0213309396150058,-0.0705052603723952,-0.451273122167434,-68.68988104726498,0.0,0.4279187901769087,2.3821051367549595,-2.737362658160006,0.4871963,0.4858869,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000008,AC00069,-0.0310826324258159,-0.130801061189675,-1.655030250852202,-91.64411756787644,0.0,0.3731508088503856,2.6655801172114995,-9.668073892614784,0.38806552,0.4200475,0.4332669675350189,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000009,AC00135,-0.0659681032580195,-0.1907440074951887,-1.8969405862319109,-94.92251484042856,0.0,0.2309479071624567,2.1343151955066366,-6.92891602515437,0.26516646,0.25978112,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000010,AC00385,-0.1094456000854829,-0.23696568986869,-3.0694743572947933,-45.93725348680925,0.0,0.3798033689137019,2.2054685880259117,-3.7883409187051127,0.11680147,0.21902585,0.4898477792739868,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000011,AC00150,-0.0298320437690152,-0.1355239660549707,-0.6397769601469756,-84.83612300138118,0.0,0.411856168606516,2.3277320886849893,-2.958947259887544,0.51155084,0.49103653,0.5174881815910339,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000012,AC00459,-0.1045123230335225,-0.2473490499268423,-3.437235125383448,-101.36640124014744,0.0,0.1272641389721736,1.4381577768629483,-15.28181935467848,0.178235,0.20946755,0.23192119598388672,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000013,AC00392,-0.0552660323871277,-0.2306152295489811,-2.7318660478812467,-97.46834085293511,0.0,0.2378155698061236,2.062653918323788,-13.372344821914172,0.19861254,0.17437138,0.18678775429725647,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000014,AC00264,-0.0417221759372965,-0.0146945390155985,-0.1035072666554786,493.1157344305336,4.019818443538672,0.5208320903382391,6.593574944792796,-9.505535954637915,0.10817838,0.079106264,1.4261764287948608,1,0,0,0,0,1,1,1,1,0,0,0,0,0
TX000015,AC00085,-0.085317298354712,-0.2419861762328536,-2.284246131007049,-81.15459009436572,0.0,0.2736576923891357,1.805468074228742,-12.574325859621029,0.18369633,0.30120236,0.2625025510787964,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000016,AC00270,-0.096716051260851,-0.2007037318133477,-3.175054356941444,-98.71196119660446,4.214684851089404e-08,0.2650956052895432,2.2172794779390275,-4.4146034116963495,0.37383583,0.25721082,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000017,AC00317,-0.0512805232749399,-0.2353807748342105,-3.226700745637838,-90.42123560891298,0.0,0.3153158479456257,1.586959251613785,-13.55792352380676,0.15117471,0.1467281,0.3321909010410309,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TX000018,AC00359,-0.0932902473541345,-0.2096550785356714,-2.4583966497549605,-98.39913046323134,0.0,0.1756736160426593,2.252119270838796,-6.076719290362899,0.24087088,0.3342008,0.6011477708816528,1,0,0,0,0,0,0,0,0,0,0,0,0,0
