component,explained_variance_ratio,cumulative_variance_ratio
PC1,0.1600918136304179,0.1600918136304179
PC2,0.09343219826851656,0.2535240118989345
PC3,0.08871377791720897,0.34223778981614345
PC4,0.0841334025133116,0.42637119232945503
PC5,0.08233311097947674,0.5087043033089318
PC6,0.0806542199763376,0.5893585232852694
PC7,0.07976020573482423,0.6691187290200936
PC8,0.07937942908643054,0.7484981581065242
PC9,0.07623424854008176,0.824732406646606
PC10,0.0639351487344208,0.8886675553810268
PC11,0.031645757211280295,0.9203133125923071
PC12,0.027192720302198044,0.9475060328945051
PC13,0.018154654705676475,0.9656606876001815
PC14,0.015321319850509317,0.9809820074506909
PC15,0.007903696220526729,0.9888857036712176
PC16,0.005237477752835572,0.9941231814240532
PC17,0.0032104332792480096,0.9973336147033012
PC18,0.002666385296698852,1.0
