,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18
TransactionAmount,0.2992336732578981,0.71595620374498,0.1982921196098962,0.011813500903485855,-0.011232554455011099,-0.07926400773435938,0.09294977660810427,0.15714844255591662,0.05027553549257437,0.29814084868363816,-0.4646350696725942,-0.05741977496139593,-0.059282404873498416,-0.0013073628467812001,-0.0037504183464936868,-0.03828301709228895,-0.054701174219627974,-0.008717371331470576
CustomerAge,-0.4706288111855673,0.4079824037497329,0.18440710469587296,-0.06941402675442873,-0.10567382204869717,-0.0045987621486220185,0.12675114208982396,0.1266079231503012,-0.05204348167923335,-0.592672857428556,0.10217743611686325,0.014958453466668575,0.06607758870107569,0.018956652214834377,0.00016961032430450312,-0.3692534791224912,0.02651821616407493,0.15342902901189756
TransactionDuration,0.01729225220415936,-0.07134322143711436,0.2429463314196265,0.5552097390419097,0.5090899761581659,-0.13224940378595143,0.41250834596445585,-0.16288098987175273,-0.38681149180876445,-0.05835214614080275,-0.024453275167570954,0.01602884708705356,-0.002097433243416157,-0.005354152769125515,0.0075269492537491855,-0.000647678187799783,0.0011562626861230062,0.0001420547036181259
LoginAttempts,-0.015217577535685043,-0.09198978811464491,0.502051228427046,0.4358485548941727,-0.2392063914318062,0.19473922927460605,-0.07030253115195328,-0.2618203437300784,0.6160961170571179,-0.029428100263617116,-0.009180627784785298,0.0023414122414219863,0.002127914997515377,0.009955779495221676,0.0022897773576268017,-0.0010741285971543888,0.0010394013005924664,0.00318976793555836
AccountBalance,-0.5197425549473537,0.22491212470885705,0.07565059664722719,0.04389611801052101,0.04077258838329269,-0.015493077249611692,0.025068611531406736,0.02528553725216963,-0.0010542781937719053,0.6325433468540261,0.46501652114281045,0.05977208056205395,-0.11148557460003533,0.008270377584364094,0.008199633234284501,0.1049439056778567,-0.030464191623757627,0.15501895759852066
account_frequency,0.033896635459595544,0.043442614356328915,0.26924048816493934,-0.5339253428335274,0.1577664501335432,0.5070330534984389,0.19375295269352286,-0.5442997749498647,-0.14054545950270078,0.050399075840316304,-0.02453372341773058,-0.016203999490319258,-0.017087459783226858,0.009280726043371977,-0.007652462790607879,-0.0025296031610728704,0.004573899499086628,0.0005141495008008528
device_frequency,0.001687200903122111,-0.25783578914384875,0.2810779760661395,-0.42429740436914565,0.2811453336985834,-0.39707183287254505,0.4100810727060917,0.2815030689055097,0.4349652343542942,0.026458730769304505,0.01253996664753988,0.0038361514224631624,0.014080390001444742,0.008540577121408785,0.002892210487544248,-0.000734683290782291,0.0027664230906629603,0.0033161965588586004
ip_frequency,0.008905651065924449,0.017207382615017055,-0.4565661741277629,0.1613572455747824,-0.11855788649034325,0.4799024160698435,0.6526131675259716,0.2066823410693331,0.22645221560252266,0.026084038188381786,0.005336121466680151,-0.0002935322184413734,-0.0016753573391466384,0.010472249825734309,-0.00014520327962910817,-0.0009717496808478039,-0.006868591350946049,-0.0013282501247805975
merchant_frequency,-0.05093422161503147,0.21676251525299384,-0.26312235271293694,0.04376737892707055,0.7345385570424534,0.20771705020149556,-0.35238841050672554,0.0077823230882706,0.39071073083425495,-0.1363903023787354,0.023927399193521246,-0.00045668525147597494,-0.0013240829347727781,0.02185539569098936,0.0012700213908082476,0.0034671849147622793,-0.002255664106600142,-0.0033596618373633856
amount_to_balance_ratio,0.593640736868225,0.25340490564552415,0.0905772622527639,-0.005666522398194375,-0.029379399065031814,-0.017131967127995123,0.04204663509370249,0.043744108677695875,0.0026021797305028718,-0.1481865820198739,0.7161309048384281,0.10157964422953819,0.12228470366632788,0.021937639983945014,0.02120212845063146,0.07187876354947959,-0.06263319028818737,0.014156829337875874
