feature,mean_abs_shap_isolation_forest,mean_abs_shap_autoencoder,rank_isolation_forest,rank_autoencoder
TransactionType_Debit,0.39111615837149294,0.010250786745667154,1,12
CustomerOccupation_Retired,0.29418948411433754,0.01062917319928816,2,11
CustomerOccupation_Student,0.264594439009414,0.008613599388362337,3,14
CustomerOccupation_Engineer,0.20734532635085717,0.009772179491318906,4,13
TransactionAmount,0.20672612531691983,0.027926478816418483,5,4
Channel_Branch,0.20170581188846898,0.007530534078634921,6,16
Channel_Online,0.19833531868877738,0.008436402584808579,7,15
account_frequency,0.1954031852061173,0.03040950186920595,8,2
LoginAttempts,0.1799493942432977,0.003082768854086873,9,17
amount_to_balance_ratio,0.16823296177521696,0.023395911437274368,10,7
high_amount_transaction,0.1643412001088233,0.00298366114994904,11,18
Location_FE,0.15386631307739473,0.035364527291148154,12,1
device_frequency,0.15137242085311362,0.01998105157366374,13,8
TransactionDuration,0.13561560003548404,0.025680801104428434,14,5
merchant_frequency,0.13387265208687749,0.030232307020229554,15,3
ip_frequency,0.13366757415787386,0.02525476836274203,16,6
CustomerAge,0.1052362987239336,0.01207455579724182,17,10
AccountBalance,0.08762229226379731,0.01705507470481535,18,9
