method,threshold_value,n_flagged,pct_flagged,score,score_max,score_min
P95,0.885205,126,5.016,,,
P97,0.929548,76,3.025,,,
P99,0.962685,26,1.035,,,
P99.5,0.979178,13,0.518,,,
mean+3sigma,1.172453,0,0.0,ensemble_percentile_average,0.996716,0.057574
Q3+1.5*IQR,1.211982,0,0.0,ensemble_percentile_average,0.996716,0.057574
mean+3sigma,0.04423,16,0.637,"score_isolation_forest (unbounded, for context)",0.114645,-0.154706
Q3+1.5*IQR,0.031919,25,0.995,"score_isolation_forest (unbounded, for context)",0.114645,-0.154706
mean+3sigma,2.271946,32,1.274,"ensemble_weighted_average (unbounded, for context)",7.310684,-1.265361
Q3+1.5*IQR,1.544856,75,2.986,"ensemble_weighted_average (unbounded, for context)",7.310684,-1.265361
