feature,mean_abs_shap_isolation_forest,mean_abs_shap_autoencoder,rank_isolation_forest,rank_autoencoder
Amount_vs_AccountAvg,0.0754405316410274,0.0390331483116522,17,1
TimeSinceLastTxn,0.1002488540872958,0.0267927135706073,7,5
Amount_ZScore_Account,0.0532696299970724,0.0366891567769534,32,2
Amount_to_Balance_Ratio,0.0528171623621199,0.0366744290899125,33,3
Amount_to_RollingMean_Ratio,0.0449052042716481,0.0360171324196989,42,4
TransactionType_Debit,0.1760340014973823,0.0043228408285185,1,35
CustomerOccupation_Retired,0.1524353392432158,0.0046515049554726,2,34
Location_Freq,0.0946979728711469,0.0146835977598192,9,13
IPTxnCount,0.0698635498403305,0.0200628427885564,22,6
CustomerOccupation_Engineer,0.1425826340457357,0.0037870354033079,3,36
CustomerOccupation_Student,0.139280831094308,0.0029342855052503,4,38
Rolling3_MeanAmount,0.0713812868277871,0.014998901732146,20,11
Expanding_MeanAmount,0.0570100058941327,0.0178921678942778,26,8
LocationNoveltyFlag,0.1247425163957557,0.0022761152518029,5,42
Expanding_MinAmount,0.0407746730692373,0.019901881638157,43,7
TransactionDuration,0.0845891525725803,0.0100968362640194,13,17
LoginAttempts,0.0566670291879353,0.0160846062611005,27,10
Expanding_MedianAmount,0.050765567654017,0.0173728768381831,35,9
Hour_cos,0.0922385310094497,0.0081114347160498,10,20
IPSharedAccounts_Prior,0.0719213107387319,0.0122399921866418,19,14
