,TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,Amount_vs_TypeAvg,DeviceTxnCount,IPTxnCount,MerchantTxnCount,Amount_vs_AccountAvg,DeviceNoveltyFlag,LocationNoveltyFlag,TimeSinceLastTxn,Location_enc,TransactionType_Debit,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Velocity_1D_Count,Velocity_7D_Count,Expanding_MeanAmount,Expanding_MedianAmount,Expanding_StdAmount,Expanding_MinAmount,Expanding_MaxAmount,Rolling3_MeanAmount,Rolling3_StdAmount,Amount_to_Balance_Ratio,Amount_to_RollingMean_Ratio,Amount_minus_ExpandingMean,Amount_minus_ExpandingMedian,Amount_ZScore_Account,Hour_sin,Hour_cos,DOW_sin,DOW_cos,CustomerTxnCountSoFar,SpendCV_Account,ElevatedLoginFlag,ATM_Credit_InteractionFlag,DeviceSharedAccounts_Prior,IPSharedAccounts_Prior,MerchantSharedAccounts_Prior,Location_Freq
TransactionAmount,1.0,-0.020040281870545795,0.008213541924624437,0.0015625097713410964,-0.027163362765626812,0.9998764019781304,-0.026935710241938825,0.007477147958222923,0.0044248076615545275,0.8649405666359863,0.027762741363364082,0.009769772550294115,-0.01174610655819267,0.008954802945551985,-0.022314494591958802,-0.013923921918059206,-0.0035604857573680363,-0.008067855343606928,-0.0037906754493782684,0.029670557881563947,0.0005924962815778427,-0.02159542111940165,-0.02248929836979292,-0.02813530164986774,-0.0076579899869351886,-0.02693866079007023,0.0074888952147048,-0.015545029401758406,-0.004123068796104952,0.724693824296563,0.8649863385732522,0.8143661772740083,0.8222907215591201,0.742356528295862,0.011151746244699636,-0.010811865434191149,0.007431054359393529,0.004135072880113964,0.002091473061170809,0.0036213051058080867,0.0020341264243233753,0.014276969674840314,-0.018058045203492485,0.008340493947395184,0.01779779404945013,-0.00463162560253862
CustomerAge,-0.020040281870545795,1.0,-0.017736673331235166,0.002582476046361627,0.40389910196300866,-0.020482297562877016,-0.017563587907408664,-0.005287775013873991,0.010482169099208356,-0.030528107285751047,-0.03534535051573179,0.005024028459101304,0.023495265625448958,-0.02813336451671145,-0.04227050856179301,4.329893302240175e-05,-0.008867446611175613,-0.04196023515295695,0.632397804991046,-0.7542781079268298,-0.003024553323421149,-0.005075847894993183,0.022336742268209035,0.03090375735122721,0.025418864131626268,0.0330781939246886,-0.005490941813545743,0.03822234074692276,0.037555149582596425,-0.32033736282428477,-0.03036672429957073,-0.022504085802912896,-0.025069038822682764,-0.013235477598138473,-0.004997121132791977,-0.0049766647827440445,0.009753631645556971,-0.00979871455821888,0.011289686643470787,0.019790691502177694,0.0024100149392657323,-0.01041605557966994,0.023307063607720918,0.03241611501079884,0.021272652863272828,-0.02972792444457684
TransactionDuration,0.008213541924624437,-0.017736673331235166,1.0,0.03197674757113944,0.00281739554580138,0.008255884054149915,0.01206970644519378,-0.004451845662706688,-0.0085580419403053,0.006428771764246447,0.01332820499296082,-0.0031539051966712837,-0.031002998569740287,-0.0139794187460945,-0.0009665565994805575,-0.03242955565382425,0.007249633446648633,0.001960641426719693,-0.014462731443472819,0.006667454853863716,0.013268980559024594,-0.0019930931120047575,-0.009215367064737077,-0.008706348421041538,0.008569964599177948,0.006580056092022775,-0.010779741056511572,-0.002592560629295254,0.010876191386060755,0.007924552025173143,0.006413835043041038,0.007463175945462772,0.007996569119601914,0.0037897650106839846,-0.002850799283981039,0.0017358553522008116,0.0249214395528817,0.005747804763978333,0.025567694633483077,0.01235114957333976,0.03173688293851622,0.005928526834112783,0.025727961576090322,-0.005252909220195928,0.020501766139105017,0.014225653524691642
LoginAttempts,0.0015625097713410964,0.002582476046361627,0.03197674757113944,1.0,0.013105794963385018,0.0012239917785013476,-0.001802318109604221,-0.014864242275420434,-0.034001320222697626,-0.008303940602468203,-0.010805469614696122,0.0005706285913937035,-0.024169682159811506,-0.01988328083902593,-0.015386647613056088,-0.015334094929996154,0.0025091902867673205,0.002156342213675805,-0.00834410075719035,-0.012608358860761937,0.007655668666837652,0.0011553836300872708,0.027203271461133067,0.022656288677866017,-0.009946226773558447,0.020292103291974166,0.006738603188064481,0.014250688618698975,-0.011602156108180016,-0.001976678075369666,-0.008341368415463415,-0.006710577221081366,-0.004719374775384466,0.0052006609124601285,-0.00554948331660427,0.011743269547082205,0.038635177258349036,-0.028890944818926883,0.008229294961768706,-0.02079012850441994,0.9996132037089012,0.004409119298007423,-0.032251755488659425,-0.023981973208044967,-0.027785627660146896,0.030089807715279082
AccountBalance,-0.027163362765626812,0.40389910196300866,0.00281739554580138,0.013105794963385018,1.0,-0.027207907253911055,-0.008656790170423164,-0.009290744072854065,0.043402017147983064,-0.027171010915952587,-0.03159235920315601,-0.0314276363782238,0.027895212244941948,-0.008635667100611116,-0.013742242926393186,0.02043364235392072,-0.004040109269228005,0.12041529523415054,-0.007404216452087145,-0.602799176715491,-0.00771083031262326,-0.0098801274008092,0.006477405562989092,0.00779048098490756,0.021016489779491238,0.03368650036163081,-0.013555372786159463,0.014779687712018767,0.027944360611452185,-0.6603277082482008,-0.02736804659046408,-0.0274301864708014,-0.028003291350921083,-0.008765047747905092,0.0028016536769603197,-0.007547029526918308,0.01354395751904694,-0.006403180055612126,0.009489725404384051,0.01708849839884021,0.013535304372392773,-0.03247410041058589,9.508561987713211e-06,0.04223371908215712,0.036615170893719184,-0.03656394353002785
Amount_vs_TypeAvg,0.9998764019781304,-0.020482297562877016,0.008255884054149915,0.0012239917785013476,-0.027207907253911055,1.0,-0.026902907657318773,0.007080074780881157,0.004059865581780135,0.8648784167293389,0.028160830454072645,0.01007323293201923,-0.011825149258867159,0.008660365722252091,-0.008224479491018075,-0.015676316950545343,-0.0050427984383256035,-0.00803674451201399,-0.004124332166747268,0.029722397696848753,0.0003520633465708819,-0.021787108434562916,-0.022363649454434677,-0.028274422547910398,-0.00802549743225178,-0.027453769440987454,0.008077370051515606,-0.015413311860305716,-0.004557597661896274,0.7246635746317538,0.8648850982047144,0.8142314559886973,0.8222433101956107,0.7420281673706544,0.011286001407455303,-0.010710031364312231,0.007819034490052182,0.004226540637453121,0.0016206676480740377,0.0034226346343780778,0.0017008514663636063,0.009927044799533213,-0.018311793354496918,0.007546099196357959,0.017235304826140597,-0.0041961954301373144
DeviceTxnCount,-0.026935710241938825,-0.017563587907408664,0.01206970644519378,-0.001802318109604221,-0.008656790170423164,-0.026902907657318773,1.0,-0.03038691429602572,-0.020462198316163308,-0.010626990221458537,-0.03484243818068089,-0.02656120761796952,-0.021517568976856662,0.008731303748140233,-0.011347127272555184,-0.003029994696066787,-0.0015581149999594496,-0.022345337394796085,0.002819479294624722,0.014577929204513698,0.011806581073311303,0.04121284122547695,-0.025223529399796475,-0.03353260076618695,0.009646191128114994,0.006583633414350745,-0.013439470865499419,-0.021376322336865258,0.014122432846037487,-0.00886792285146544,-0.010741982185108646,-0.009307517527186953,-0.0035912459355593616,-0.0025910375212315293,-0.012156015539863002,0.009181397697956863,-0.011358586173485055,-0.022483696145194448,0.002234855939209637,0.016337491274339176,-0.0018790871230341755,-0.003157083144816153,0.5021632708397916,-0.004035068093731652,-0.008662453949127338,0.027281169128415456
IPTxnCount,0.007477147958222923,-0.005287775013873991,-0.004451845662706688,-0.014864242275420434,-0.009290744072854065,0.007080074780881157,-0.03038691429602572,1.0,0.0023810955628262333,0.010324815994109993,0.03286378390029471,-0.013131407379895096,-0.02123750399562295,0.0032720089709851654,-0.016776634518699197,0.005698765437307604,0.006335945821104915,0.012129959228460751,-0.0042951026108816095,0.005989963724549752,0.027146839471331417,0.014674720535985975,0.010656663583457906,-0.015975097639121028,0.006309043986752341,0.02505566484005092,-0.0008118198633321115,0.01151804503233104,0.005724217778355767,0.004650226292385317,0.010294410026879043,0.005767176410501625,0.01834645056063685,0.010843315175136446,-0.011570813688099724,0.008103713209421395,0.047038855334033514,-0.0023150278151966197,0.008830144189469258,0.0005513723564691176,-0.013900453454747648,0.00015227937368449536,-0.005004365763256354,0.4809311264675958,0.015736085166069037,-0.017093812740016524
MerchantTxnCount,0.0044248076615545275,0.010482169099208356,-0.0085580419403053,-0.034001320222697626,0.043402017147983064,0.004059865581780135,-0.020462198316163308,0.0023810955628262333,1.0,0.007334749756259032,9.180045480433942e-05,-0.019364629082905607,0.008284588049888415,-0.0037620753296108245,-0.027284800189600705,0.017536307362068335,-0.012209183120800193,0.006131519860554506,-0.00895807098814038,-0.00993864719242802,-0.003261201976817693,0.0007247571365751201,-0.013443976181079823,0.02146552566746364,0.0013597894150932039,0.05168958481984525,-0.050385695424407705,-0.01102644895356739,0.0023380774113663247,-0.015843158168800213,0.007374234694015636,-0.00623902147550264,-0.018525206127006692,-0.008327499099650176,-0.01546691919083894,0.006918884325467472,0.022169621837588388,0.014635805242912312,0.029653940719459506,-0.010125628931275473,-0.03364399759496719,0.0020430394251383013,0.0006291129485390399,0.027579364459976437,0.2638989181011279,-0.0016907692012337007
Amount_vs_AccountAvg,0.8649405666359863,-0.030528107285751047,0.006428771764246447,-0.008303940602468203,-0.027171010915952587,0.8648784167293389,-0.010626990221458537,0.010324815994109993,0.007334749756259032,1.0,0.029307327179643846,0.006635982735161023,0.003939699668339028,0.015425704583507437,-0.017044764471353186,-0.018457868854477148,-0.000934003755966041,-0.0018983935800515256,-0.008528858639464197,0.031948391972889234,-0.010645703327788471,-0.0032881956761803455,-0.4499272850402502,-0.41610240934576986,-0.135273718595817,-0.1428549294313511,-0.3164725629951605,-0.4210615091791247,-0.11986522966297727,0.6347857020080059,0.9999804070753682,0.9467129101477104,0.9235969559642018,0.8691469380175184,-0.001195939339920502,0.004925394864718644,0.006671801536146512,0.002757534563136356,-0.00553685881079897,0.0009922178552953878,-0.008177366907283823,0.021800280463927006,0.0022190254058447956,0.015498322563530743,0.020653304109557985,-0.008689073764088421
