,CustomerAge,LoginAttempts,TimeSinceLastTxn,ElevatedLoginFlag,DOW_cos,Channel_Branch,IPSharedAccounts_Prior,SpendCV_Account,CustomerTxnCountSoFar,Amount_minus_ExpandingMedian,Expanding_MedianAmount,LocationNoveltyFlag,Location_enc,DeviceTxnCount,MerchantSharedAccounts_Prior,DeviceSharedAccounts_Prior,DOW_sin,Hour_cos,Location_Freq,DeviceNoveltyFlag
CustomerAge,1.0,0.002582476046361627,0.023495265625448958,0.0024100149392657323,-0.00979871455821888,4.329893302240175e-05,0.03241611501079884,0.019790691502177694,0.011289686643470787,-0.025069038822682764,0.03090375735122721,0.005024028459101304,-0.02813336451671145,-0.017563587907408664,0.021272652863272828,0.023307063607720918,0.009753631645556971,-0.0049766647827440445,-0.02972792444457684,-0.03534535051573179
LoginAttempts,0.002582476046361627,1.0,-0.024169682159811506,0.9996132037089012,-0.028890944818926883,-0.015334094929996154,-0.023981973208044967,-0.02079012850441994,0.008229294961768706,-0.004719374775384466,0.022656288677866017,0.0005706285913937035,-0.01988328083902593,-0.001802318109604221,-0.027785627660146896,-0.032251755488659425,0.038635177258349036,0.011743269547082205,0.030089807715279082,-0.010805469614696122
TimeSinceLastTxn,0.023495265625448958,-0.024169682159811506,1.0,-0.02496804987165323,0.017495171428971577,0.010480907970192377,0.11869525412450414,-0.07243558056327225,-0.10546958373477709,-0.010906047714788486,0.012635202090590667,0.058399881397593965,-0.009195194571716359,-0.021517568976856662,0.1706299891942949,0.09821881555315928,-0.010361283555371064,-0.011743310037244981,0.0016728862669800366,0.024701154020857
ElevatedLoginFlag,0.0024100149392657323,0.9996132037089012,-0.02496804987165323,1.0,-0.02862799618447192,-0.0161849314254804,-0.023547410784109234,-0.020323628692703904,0.009412763678622265,-0.004585403597174528,0.023298525996753888,-5.074216833973422e-05,-0.02042744393372402,-0.0018790871230341755,-0.02765046098686425,-0.03213381761054564,0.038328093036246534,0.011182275955272013,0.029729798778686825,-0.011205256165572676
DOW_cos,-0.00979871455821888,-0.028890944818926883,0.017495171428971577,-0.02862799618447192,1.0,-0.0009924639525899978,-0.02484433435763012,-0.012588190307175617,-0.024181586682529385,0.008462933139380418,-0.012490980145972492,0.009400352166700921,0.013150300384674083,-0.022483696145194448,-0.01705591519742069,-0.01818025714852734,-0.052517179298320914,-0.025072884741179923,0.009493876724780276,-0.0038082642862857833
Channel_Branch,4.329893302240175e-05,-0.015334094929996154,0.010480907970192377,-0.0161849314254804,-0.0009924639525899978,1.0,-0.009135064034802683,-0.0054585339602949,0.011564850287514628,-0.03422365259904718,0.01210827207731846,0.006330619343918013,-0.0011073904895378592,-0.003029994696066787,-0.003381317903645085,-0.0006343673935315752,-0.03962174949788454,0.007676476742471969,0.0012897297289341458,0.026060244559059677
IPSharedAccounts_Prior,0.03241611501079884,-0.023981973208044967,0.11869525412450414,-0.023547410784109234,-0.02484433435763012,-0.009135064034802683,1.0,0.4048317080007418,0.4924155408431296,0.01448479274511853,-0.004678815473756474,-0.09998662523591455,0.0181043049869959,-0.004035068093731652,0.6403678390758404,0.45292286248792274,0.02837973382947614,0.020910774940061428,-0.030923670448002028,-0.016572503599389755
SpendCV_Account,0.019790691502177694,-0.02079012850441994,-0.07243558056327225,-0.020323628692703904,-0.012588190307175617,-0.0054585339602949,0.4048317080007418,1.0,0.7862246991481432,0.05560791350082528,-0.10407639468387075,-0.14669690142934094,-0.008491813337838428,0.016337491274339176,0.5209092982514467,0.38938413697995056,-0.0037858986720206616,0.02991966591559453,-0.020470845004095142,-0.056617521420054905
CustomerTxnCountSoFar,0.011289686643470787,0.008229294961768706,-0.10546958373477709,0.009412763678622265,-0.024181586682529385,0.011564850287514628,0.4924155408431296,0.7862246991481432,1.0,0.0004033713949521644,0.012516876747861871,-0.1730419766184621,-0.00987337734368635,0.002234855939209637,0.6564002023234174,0.47013808048580497,0.007441131636662094,0.06352988775449221,-0.012134060374229958,-0.0636273698954716
Amount_minus_ExpandingMedian,-0.025069038822682764,-0.004719374775384466,-0.010906047714788486,-0.004585403597174528,0.008462933139380418,-0.03422365259904718,0.01448479274511853,0.05560791350082528,0.0004033713949521644,1.0,-0.5068512041047221,-0.0028728373726638404,0.010731758967645322,-0.0035912459355593616,0.006488257642744666,-0.0011170766954619043,0.014144128522292864,-0.0011229570631051751,-0.013212698233248417,0.021600320248302662
