,Isolation Forest,LOF,One-Class SVM,Elliptic Envelope,DBSCAN,HDBSCAN,K-Means,GMM,Autoencoder,VAE,LSTM-AE,Hybrid Ensemble
Isolation Forest,0.0,0.72,0.6815920398009951,0.8372093023255814,0.8775510204081634,0.9011070110701107,0.75,0.75,0.761904761904762,0.761904761904762,0.8443396226415095,0.5477707006369428
LOF,0.72,0.0,0.5542857142857143,0.766839378238342,0.7459016393442623,0.9099630996309964,0.7083333333333333,0.8623853211009175,0.6947368421052632,0.7282051282051283,0.6857142857142857,0.4233576642335767
One-Class SVM,0.6815920398009951,0.5542857142857143,0.0,0.7068062827225131,0.7633587786259541,0.9041297935103245,0.5561797752808989,0.8874458874458875,0.7524271844660195,0.7819905213270143,0.562874251497006,0.6280487804878049
Elliptic Envelope,0.8372093023255814,0.766839378238342,0.7068062827225131,0.0,0.775,0.9262773722627738,0.7839195979899498,0.914798206278027,0.9049773755656109,0.8796296296296298,0.7417582417582418,0.8268156424581006
DBSCAN,0.8775510204081634,0.7459016393442623,0.7633587786259541,0.775,0.0,0.9771217712177122,0.753968253968254,0.9533333333333334,0.8865248226950355,0.9097222222222223,0.7704918032786886,0.7745098039215688
HDBSCAN,0.9011070110701107,0.9099630996309964,0.9041297935103245,0.9262773722627738,0.9771217712177122,0.0,0.9070110701107011,0.9118295371050698,0.9070110701107011,0.9070110701107011,0.9162826420890937,0.9306273062730628
K-Means,0.75,0.7083333333333333,0.5561797752808989,0.7839195979899498,0.753968253968254,0.9070110701107011,0.0,0.9276595744680852,0.875,0.875,0.6609195402298851,0.7640449438202248
GMM,0.75,0.8623853211009175,0.8874458874458875,0.914798206278027,0.9533333333333334,0.9118295371050698,0.9276595744680852,0.0,0.8493150684931507,0.875,0.9439655172413794,0.8172043010752688
Autoencoder,0.761904761904762,0.6947368421052632,0.7524271844660195,0.9049773755656109,0.8865248226950355,0.9070110701107011,0.875,0.8493150684931507,0.0,0.6524064171122995,0.8930232558139535,0.5034013605442177
VAE,0.761904761904762,0.7282051282051283,0.7819905213270143,0.8796296296296298,0.9097222222222223,0.9070110701107011,0.875,0.875,0.6524064171122995,0.0,0.880952380952381,0.6826347305389222
LSTM-AE,0.8443396226415095,0.6857142857142857,0.562874251497006,0.7417582417582418,0.7704918032786886,0.9162826420890937,0.6609195402298851,0.9439655172413794,0.8930232558139535,0.880952380952381,0.0,0.7882352941176471
Hybrid Ensemble,0.5477707006369428,0.4233576642335767,0.6280487804878049,0.8268156424581006,0.7745098039215688,0.9306273062730628,0.7640449438202248,0.8172043010752688,0.5034013605442177,0.6826347305389222,0.7882352941176471,0.0
