,Isolation Forest,LOF,One-Class SVM,Elliptic Envelope,DBSCAN,HDBSCAN,K-Means,GMM,Autoencoder,VAE,LSTM-AE,Hybrid Ensemble,Final Ensemble Risk
TX002181,0.9984076433121019,0.9992038216560509,1.0,0.9996019108280255,0.9992038216560509,0.9992038216560509,0.9992038216560509,0.9996019108280255,0.9972133757961783,0.9980095541401274,,1.0,0.9987659235668792
TX001354,0.9996019108280255,0.9996019108280255,0.9996019108280255,0.9992038216560509,0.9996019108280255,0.9996019108280255,0.9996019108280255,1.0,0.9940286624203821,0.9976114649681529,0.9995836802664446,1.0,0.998712771686594
TX000993,0.9896496815286624,0.9980095541401274,0.9992038216560509,0.9976114649681529,0.9980095541401274,0.9980095541401274,0.9980095541401274,0.9988057324840764,0.9860668789808917,0.9219745222929936,0.9983347210657785,1.0,0.989226039437315
TX000856,0.972531847133758,0.9836783439490446,0.9932324840764332,0.9506369426751592,0.991640127388535,0.9928343949044586,0.9876592356687898,0.9777070063694268,0.9928343949044586,0.9996019108280255,0.962947543713572,1.0,0.9821005114440918
TX002192,0.9689490445859873,0.9964171974522293,0.9972133757961783,0.9948248407643312,0.9968152866242038,0.9948248407643312,0.9956210191082803,0.9992038216560509,0.9633757961783439,0.8268312101910829,0.9970857618651124,1.0,0.9753603262963164
TX000526,0.9434713375796179,0.991640127388535,0.9864649681528662,0.9570063694267515,0.9888535031847133,0.9924363057324841,0.972531847133758,0.9956210191082803,0.9996019108280255,0.9992038216560509,0.8796835970024979,0.9860668789808917,0.973119654678812
TX000476,0.9920382165605095,0.9884554140127388,0.9812898089171974,0.8805732484076433,0.9844745222929936,0.9840764331210191,0.9609872611464968,0.9860668789808917,0.9932324840764332,1.0,0.9104912572855953,1.0,0.9690442653704426
TX000166,0.9792993630573248,0.9924363057324841,0.9904458598726115,0.9339171974522293,0.9896496815286624,0.9904458598726115,0.9713375796178344,0.8614649681528662,0.9988057324840764,0.9629777070063694,0.9683597002497918,1.0,0.9669946681182008
TX001439,0.9585987261146497,0.9578025477707006,0.9757165605095541,0.9880573248407644,0.9589968152866242,0.9430732484076433,0.9478503184713376,0.9940286624203821,0.9856687898089171,0.9968152866242038,0.9208992506244796,1.0,0.9651229017075618
TX000198,0.9960191082802548,0.9844745222929936,0.9844745222929936,0.9028662420382165,0.9709394904458599,0.972531847133758,0.9585987261146497,0.9709394904458599,0.9984076433121019,0.9359076433121019,0.9250624479600333,1.0,0.9629318895371402
TX000541,0.9223726114649682,0.9892515923566879,0.9860668789808917,0.8773885350318471,0.9792993630573248,0.9828821656050956,0.9745222929936306,0.9936305732484076,0.9964171974522293,0.9227707006369427,0.9604496253122398,0.9860668789808917,0.9620775391285104
TX002087,0.9765127388535032,0.9717356687898089,0.9876592356687898,0.9721337579617835,0.9852707006369427,0.9844745222929936,0.9546178343949044,0.9980095541401274,0.7157643312101911,0.9876592356687898,0.9941715237302248,0.9860668789808917,0.956891863420128
TX001282,0.990843949044586,0.9255573248407644,0.9526273885350318,0.9800955414012739,0.9709394904458599,0.9625796178343949,0.9605891719745223,0.8646496815286624,0.9450636942675159,0.9904458598726115,0.8576186511240633,0.9625796178343949,0.9448217701953642
TX001259,0.9884554140127388,0.990843949044586,0.9920382165605095,0.9876592356687898,0.9940286624203821,0.9876592356687898,0.9904458598726115,0.9984076433121019,0.9012738853503185,0.5589171974522293,0.9945878434637802,0.9860668789808917,0.9438289579181988
TX002314,0.9645700636942676,0.945859872611465,0.9406847133757962,0.82921974522293,0.9709394904458599,0.9681528662420382,0.8960987261146497,0.990047770700637,0.9609872611464968,0.95421974522293,0.9533721898417985,0.9860668789808917,0.9423801405362352
TX000109,0.9430732484076433,0.9231687898089171,0.9454617834394905,0.9378980891719745,0.9589968152866242,0.9454617834394905,0.9454617834394905,0.8618630573248408,0.919984076433121,0.9693471337579618,0.8742714404662781,0.8992834394904459,0.928530217170887
TX001243,0.9279458598726115,0.9737261146496815,0.8793789808917197,0.821656050955414,0.9589968152866242,0.9637738853503185,0.9056528662420382,0.9446656050955414,0.9773089171974523,0.9462579617834395,0.8892589508742714,0.9860668789808917,0.9252242178275488
