,Silhouette,Davies-Bouldin (lower=better),log10(Calinski-Harabasz),Bootstrap Jaccard Stability (5 runs)
Isolation Forest,0.3975,2.3227,2.171082577357526,0.6021
LOF,0.2765,4.2348,1.5608626947274649,0.5124
One-Class SVM,0.4059,2.7692,2.058995093525416,
Elliptic Envelope,0.5409,1.1529,2.772666364531404,
DBSCAN,0.428,2.2235,2.239099181887367,
HDBSCAN,0.4302,2.1946,2.2554413645701663,
K-Means,0.4003,2.4406,2.1558823580818154,
GMM,0.2925,2.7591,1.8924841793646876,
Autoencoder,0.1724,5.6806,1.1967287226232868,0.3726
VAE,0.2012,4.8687,1.3533390953113047,
LSTM-AE,0.3746,2.6149,2.034106829707644,
Hybrid Ensemble,0.2774,3.913,1.9238137210911896,
