feature,Isolation Forest (TreeExplainer),Autoencoder (GradientExplainer)
TransactionAmount,0.2067261253169198,0.0279264788164184
CustomerAge,0.1052362987239336,0.0120745557972418
TransactionDuration,0.135615600035484,0.0256808011044284
LoginAttempts,0.1799493942432977,0.0030827688540868
AccountBalance,0.0876222922637973,0.0170550747048153
account_frequency,0.1954031852061173,0.0304095018692059
device_frequency,0.1513724208531136,0.0199810515736637
ip_frequency,0.1336675741578738,0.025254768362742
merchant_frequency,0.1338726520868774,0.0302323070202295
amount_to_balance_ratio,0.1682329617752169,0.0233959114372743
high_amount_transaction,0.1643412001088233,0.002983661149949
TransactionType_Debit,0.3911161583714929,0.0102507867456671
Channel_Branch,0.2017058118884689,0.0075305340786349
Channel_Online,0.1983353186887773,0.0084364025848085
CustomerOccupation_Engineer,0.2073453263508571,0.0097721794913189
CustomerOccupation_Retired,0.2941894841143375,0.0106291731992881
CustomerOccupation_Student,0.264594439009414,0.0086135993883623
Location_FE,0.1538663130773947,0.0353645272911481
