,TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,account_frequency,device_frequency,ip_frequency,merchant_frequency,amount_to_balance_ratio,high_amount_transaction,TransactionType_Debit,Channel_Branch,Channel_Online,CustomerOccupation_Engineer,CustomerOccupation_Retired,CustomerOccupation_Student,Location_FE
TransactionAmount,1.0,-0.020040281870545795,0.008213541924624437,0.0015625097713410964,-0.027163362765626812,0.010839594477130251,-0.026935710241938825,0.007477147958222923,0.0044248076615545275,0.7248537196572362,0.37806069100156814,-0.022314494591958802,-0.013923921918059206,-0.0035604857573680363,-0.008067855343606928,-0.0037906754493782684,0.029670557881563947,-0.00463162560253862
CustomerAge,-0.020040281870545795,1.0,-0.017736673331235166,0.002582476046361627,0.40389910196300866,-0.00014503059582004558,-0.017563587907408664,-0.005287775013873991,0.010482169099208356,-0.3202496530716224,-0.012463385738556763,-0.04227050856179301,4.329893302240175e-05,-0.008867446611175613,-0.04196023515295695,0.632397804991046,-0.7542781079268298,-0.02972792444457684
TransactionDuration,0.008213541924624437,-0.017736673331235166,1.0,0.03197674757113944,0.00281739554580138,0.0003776387834474779,0.01206970644519378,-0.004451845662706688,-0.0085580419403053,0.00793457545166677,0.0022107784384088123,-0.0009665565994805575,-0.03242955565382425,0.007249633446648633,0.001960641426719693,-0.014462731443472819,0.006667454853863716,0.014225653524691642
LoginAttempts,0.0015625097713410964,0.002582476046361627,0.03197674757113944,1.0,0.013105794963385018,0.016937453494217755,-0.001802318109604221,-0.014864242275420434,-0.034001320222697626,-0.001974220760537503,-0.009439952152804154,-0.015386647613056088,-0.015334094929996154,0.0025091902867673205,0.002156342213675805,-0.00834410075719035,-0.012608358860761937,0.030089807715279082
AccountBalance,-0.027163362765626812,0.40389910196300866,0.00281739554580138,0.013105794963385018,1.0,-0.024984557247647848,-0.008656790170423164,-0.009290744072854065,0.043402017147983064,-0.6601884723027638,-0.022436962892273916,-0.013742242926393186,0.02043364235392072,-0.004040109269228005,0.12041529523415054,-0.007404216452087145,-0.602799176715491,-0.03656394353002785
account_frequency,0.010839594477130251,-0.00014503059582004558,0.0003776387834474779,0.016937453494217755,-0.024984557247647848,1.0,0.021895411074840353,-0.014376072432034946,0.003501112788860796,0.016131455491066572,-0.012908969880914792,-0.00918615774798393,0.02089744770738174,0.004462684175332643,0.016260939436903432,0.0006507461489775045,-0.0026803224225676265,0.024388767909066085
device_frequency,-0.026935710241938825,-0.017563587907408664,0.01206970644519378,-0.001802318109604221,-0.008656790170423164,0.021895411074840353,1.0,-0.03038691429602572,-0.020462198316163308,-0.008866726258185844,-0.028236801064677464,-0.011347127272555184,-0.003029994696066787,-0.0015581149999594496,-0.022345337394796085,0.002819479294624722,0.014577929204513698,0.027281169128415456
ip_frequency,0.007477147958222923,-0.005287775013873991,-0.004451845662706688,-0.014864242275420434,-0.009290744072854065,-0.014376072432034946,-0.03038691429602572,1.0,0.0023810955628262333,0.0046343938320643,0.033851145208325176,-0.016776634518699197,0.005698765437307604,0.006335945821104915,0.012129959228460751,-0.0042951026108816095,0.005989963724549752,-0.017093812740016524
merchant_frequency,0.0044248076615545275,0.010482169099208356,-0.0085580419403053,-0.034001320222697626,0.043402017147983064,0.003501112788860796,-0.020462198316163308,0.0023810955628262333,1.0,-0.01585780934759452,0.0038379718058180706,-0.027284800189600705,0.017536307362068335,-0.012209183120800193,0.006131519860554506,-0.00895807098814038,-0.00993864719242802,-0.0016907692012337007
amount_to_balance_ratio,0.7248537196572362,-0.3202496530716224,0.00793457545166677,-0.001974220760537503,-0.6601884723027638,0.016131455491066572,-0.008866726258185844,0.0046343938320643,-0.01585780934759452,1.0,0.2745252071169672,-0.008812410945499732,-0.018869993378195993,-0.0002307124298467889,-0.11012143060800209,-0.05784177754930812,0.4481100492697544,0.013897862351777375
high_amount_transaction,0.37806069100156814,-0.012463385738556763,0.0022107784384088123,-0.009439952152804154,-0.022436962892273916,-0.012908969880914792,-0.028236801064677464,0.033851145208325176,0.0038379718058180706,0.2745252071169672,1.0,0.015218005991939013,-0.03274579506758478,0.020754791776254694,-0.0014745111634624642,-0.0001942287266191268,0.0126382313518759,-0.02582144365083154
TransactionType_Debit,-0.022314494591958802,-0.04227050856179301,-0.0009665565994805575,-0.015386647613056088,-0.013742242926393186,-0.00918615774798393,-0.011347127272555184,-0.016776634518699197,-0.027284800189600705,-0.008812410945499732,0.015218005991939013,1.0,-0.10952965686391083,-0.12338375581477391,0.005110569025231984,-0.032509329619154016,0.02069564863839704,0.01777323094500303
Channel_Branch,-0.013923921918059206,4.329893302240175e-05,-0.03242955565382425,-0.015334094929996154,0.02043364235392072,0.02089744770738174,-0.003029994696066787,0.005698765437307604,0.017536307362068335,-0.018869993378195993,-0.03274579506758478,-0.10952965686391083,1.0,-0.5017267151695511,0.003943608625732956,4.066508442106983e-05,-0.005753894720061838,0.0012897297289341458
Channel_Online,-0.0035604857573680363,-0.008867446611175613,0.007249633446648633,0.0025091902867673205,-0.004040109269228005,0.004462684175332643,-0.0015581149999594496,0.006335945821104915,-0.012209183120800193,-0.0002307124298467889,0.020754791776254694,-0.12338375581477391,-0.5017267151695511,1.0,0.02406305682888843,-0.008765718551431871,-0.0021555821893755995,-0.019568859949974177
