,isolation_forest (real SHAP),lof (proxy |Spearman|),ocsvm (proxy |Spearman|),elliptic_envelope (proxy |Spearman|),dbscan (proxy |Spearman|),hdbscan (proxy |Spearman|),kmeans (proxy |Spearman|),gmm (proxy |Spearman|),autoencoder (real SHAP),vae (proxy |Spearman|),lstm_ae (proxy |Spearman|),hybrid_ensemble (proxy |Spearman|)
TransactionAmount,0.5285542949124745,0.08530876485556904,0.4128176340745745,0.4296358821483793,0.18473172722724787,0.3438803258256055,0.2999300494279081,0.3959368294343501,0.789674879194793,0.5253068923117563,0.10448604248921972,0.3375301037846353
CustomerAge,0.2690666096796169,0.22295784914895425,0.4338240955487262,0.4294602299942554,0.06858250507342283,0.4708785710430513,0.27248864202955675,0.2738971470815534,0.3414312793674496,0.3423968940694221,0.26105361945449773,0.04132482322455692
TransactionDuration,0.34673995725503315,0.30083845154208466,0.09009712130813471,0.2060828723500386,0.06915357762181014,0.3699417189189647,0.2233703673789175,0.0759581389418649,0.7261740244116435,0.4297210264355016,0.22658762512513922,0.09408507034433755
LoginAttempts,0.4600919455554093,0.3889143920690032,1.0,0.9460533839941943,1.0,1.0,1.0,0.872651641337535,0.08717121619376078,1.0,1.0,1.0
AccountBalance,0.22403137888404864,0.09518921590047211,0.1758279570803854,0.4222949601454708,0.22901969509485323,0.6875750598636923,0.47443581934710394,0.6781136307727512,0.4822650268842775,0.3827035408667406,0.305648691823104,0.29748729912351213
account_frequency,0.4996039693673766,0.218332334106113,0.045043090456372226,0.08631637802981786,0.09652249817101874,0.22216697316471,0.15499070193618267,0.053921019425223427,0.8598871298024539,0.31704934446499217,0.4705840166236326,0.1378247952187132
device_frequency,0.38702676331090463,0.09921415051061012,0.030531816499664192,0.0034150449217341637,0.15035867353612326,0.059139512840021745,0.00239867742087049,0.03701208523243773,0.5650026482515731,0.02182713313175804,0.05089385244979241,0.01992768351142316
ip_frequency,0.3417592735478668,0.366737959090541,0.48440934853353335,0.15004231327515377,0.04233705075742544,0.3749316121210877,0.3521170193739115,0.07197368416793275,0.7141271295619258,0.34514096314204584,0.1775544840144694,0.21873695905752674
merchant_frequency,0.3422836137588608,0.0695190036389594,0.5377894850586314,0.04412005344715436,0.0990959000038606,0.03186132521631277,0.04228533680097644,0.0322843988963598,0.8548766047778263,0.12016009140407242,0.009337205389254678,0.19408447758194677
amount_to_balance_ratio,0.43013554458014736,0.09798285221382869,0.3411323115475496,0.5948141037184244,0.25264119550834013,0.7097305729807796,0.5024272860672014,0.1499155835146482,0.6615643762084257,0.6821933593305166,0.2500475431966516,0.36350693087006214
high_amount_transaction,0.42018514600137696,1.0,0.9100116474607708,1.0,0.1965537078931455,0.9616280784011723,0.8355689561005127,0.8230749076013293,0.08436875531758681,0.8286963155860223,0.42226710578323456,0.9649492135067657
TransactionType_Debit,1.0,0.9720755964716604,0.4815723885556857,0.590613772956143,0.04248987756380057,0.77470683153247,0.5363999178378575,0.42860090741091683,0.2898607031072328,0.856052030162055,0.31858218363689556,0.3177967986489686
Channel_Branch,0.5157184319060617,0.2170006009099061,0.026604451993088002,0.1386745978705562,0.002844077701792147,0.06415878817229556,0.11940472287312595,0.03470588812716706,0.2129403290658375,0.17924862166734334,0.048231992085529585,0.10408612334743694
Channel_Online,0.5071008048212444,0.24911257095499434,0.4031705223277558,0.2558088143546955,0.061271552736057014,0.36178881118969647,0.2838179373139355,0.22360117417070488,0.23855550267513867,0.4305178018964905,0.2551141821795785,0.05644884982296058
CustomerOccupation_Engineer,0.5301374589436301,0.05999618942019334,0.30584552793058073,0.33461661858024133,0.062220691628784505,0.23339883817726373,0.10874951898075211,0.8760199958216117,0.27632716283372605,0.3225727129105661,0.24418861228903505,0.07555489097642945
CustomerOccupation_Retired,0.7521793150640131,0.182409311844861,0.26697088233227273,0.5461363227645607,0.05312108716168444,0.3489648822636183,0.1719592699436847,0.7735102191615881,0.30056030755849045,0.4690260940674033,0.11072247074156537,0.08018998234715519
CustomerOccupation_Student,0.6765111421402751,0.1915539549577844,0.5698912745515038,0.364508113394946,0.14717923004205236,0.5265174633917402,0.3354464306293601,1.0,0.2435660829691988,0.15053882624774984,0.41672073972438967,0.1766769449882943
Location_FE,0.39340311000715183,0.3814649197494133,0.386437798702456,0.08219072545768842,0.10869977983492989,0.29350776227938835,0.14529896196186334,0.048434067418485785,1.0,0.582822837904743,0.15992625261253715,0.2121853978872031
