,Isolation Forest,LOF,One-Class SVM,Elliptic Envelope,DBSCAN,HDBSCAN,K-Means,GMM,Autoencoder,VAE,LSTM-AE,Hybrid Ensemble
Isolation Forest,0.0,0.8221153846153846,0.6746411483253589,0.7114427860696517,0.7662337662337663,0.6463878326996197,0.7303921568627452,0.6984924623115578,0.8787878787878788,0.8640350877192983,0.7448979591836735,0.7294117647058824
LOF,0.8221153846153846,0.0,0.6804123711340206,0.9230769230769231,0.7928571428571429,0.6546184738955823,0.624277456647399,0.8333333333333334,0.6923076923076923,0.6162790697674418,0.8944723618090453,0.38842975206611574
One-Class SVM,0.6746411483253589,0.6804123711340206,0.0,0.7441860465116279,0.7197452229299364,0.5551181102362205,0.5789473684210527,0.7946428571428572,0.7557603686635945,0.6829268292682926,0.7864077669902914,0.6647058823529413
Elliptic Envelope,0.7114427860696517,0.9230769230769231,0.7441860465116279,0.0,0.803921568627451,0.7216117216117216,0.8113207547169812,0.8440366972477065,0.9672131147540984,0.962962962962963,0.7248677248677249,0.9114583333333334
DBSCAN,0.7662337662337663,0.7928571428571429,0.7197452229299364,0.803921568627451,0.0,0.7443946188340806,0.6136363636363638,0.8417721518987342,0.9107142857142858,0.826923076923077,0.8013698630136987,0.7826086956521741
HDBSCAN,0.6463878326996197,0.6546184738955823,0.5551181102362205,0.7216117216117216,0.7443946188340806,0.0,0.5578512396694215,0.6780303030303031,0.7839721254355401,0.6928838951310863,0.7451737451737452,0.7196652719665272
K-Means,0.7303921568627452,0.624277456647399,0.5789473684210527,0.8113207547169812,0.6136363636363638,0.5578512396694215,0.0,0.8169014084507042,0.7010309278350516,0.6736842105263158,0.8509615384615385,0.6339869281045751
GMM,0.6984924623115578,0.8333333333333334,0.7946428571428572,0.8440366972477065,0.8417721518987342,0.6780303030303031,0.8169014084507042,0.0,0.9090909090909091,0.8849557522123894,0.7846153846153846,0.8641304347826086
Autoencoder,0.8787878787878788,0.6923076923076923,0.7557603686635945,0.9672131147540984,0.9107142857142858,0.7839721254355401,0.7010309278350516,0.9090909090909091,0.0,0.6153846153846154,0.9469026548672567,0.5486111111111112
VAE,0.8640350877192983,0.6162790697674418,0.6829268292682926,0.962962962962963,0.826923076923077,0.6928838951310863,0.6736842105263158,0.8849557522123894,0.6153846153846154,0.0,0.9124423963133641,0.625
LSTM-AE,0.7448979591836735,0.8944723618090453,0.7864077669902914,0.7248677248677249,0.8013698630136987,0.7451737451737452,0.8509615384615385,0.7846153846153846,0.9469026548672567,0.9124423963133641,0.0,0.8870056497175142
Hybrid Ensemble,0.7294117647058824,0.38842975206611574,0.6647058823529413,0.9114583333333334,0.7826086956521741,0.7196652719665272,0.6339869281045751,0.8641304347826086,0.5486111111111112,0.625,0.8870056497175142,0.0
