,Isolation Forest,LOF,One-Class SVM,Elliptic Envelope,DBSCAN,HDBSCAN,K-Means,GMM,Autoencoder,VAE,LSTM-AE,Hybrid Ensemble
Isolation Forest,1.0,0.1778846153846154,0.3253588516746411,0.2885572139303483,0.2337662337662337,0.3536121673003802,0.2696078431372549,0.3015075376884422,0.1212121212121212,0.1359649122807017,0.2551020408163265,0.2705882352941176
LOF,0.1778846153846154,1.0,0.3195876288659793,0.0769230769230769,0.2071428571428571,0.3453815261044177,0.3757225433526011,0.1666666666666666,0.3076923076923077,0.3837209302325581,0.1055276381909547,0.6115702479338843
One-Class SVM,0.3253588516746411,0.3195876288659793,1.0,0.2558139534883721,0.2802547770700637,0.4448818897637795,0.4210526315789473,0.2053571428571428,0.2442396313364055,0.3170731707317073,0.2135922330097087,0.3352941176470588
Elliptic Envelope,0.2885572139303483,0.0769230769230769,0.2558139534883721,1.0,0.196078431372549,0.2783882783882784,0.1886792452830188,0.1559633027522936,0.0327868852459016,0.037037037037037,0.2751322751322751,0.0885416666666666
DBSCAN,0.2337662337662337,0.2071428571428571,0.2802547770700637,0.196078431372549,1.0,0.2556053811659193,0.3863636363636363,0.1582278481012658,0.0892857142857142,0.173076923076923,0.1986301369863013,0.217391304347826
HDBSCAN,0.3536121673003802,0.3453815261044177,0.4448818897637795,0.2783882783882784,0.2556053811659193,1.0,0.4421487603305785,0.3219696969696969,0.2160278745644599,0.3071161048689138,0.2548262548262548,0.2803347280334728
K-Means,0.2696078431372549,0.3757225433526011,0.4210526315789473,0.1886792452830188,0.3863636363636363,0.4421487603305785,1.0,0.1830985915492957,0.2989690721649484,0.3263157894736842,0.1490384615384615,0.3660130718954248
GMM,0.3015075376884422,0.1666666666666666,0.2053571428571428,0.1559633027522936,0.1582278481012658,0.3219696969696969,0.1830985915492957,1.0,0.0909090909090909,0.1150442477876106,0.2153846153846154,0.1358695652173913
Autoencoder,0.1212121212121212,0.3076923076923077,0.2442396313364055,0.0327868852459016,0.0892857142857142,0.2160278745644599,0.2989690721649484,0.0909090909090909,1.0,0.3846153846153846,0.0530973451327433,0.4513888888888889
VAE,0.1359649122807017,0.3837209302325581,0.3170731707317073,0.037037037037037,0.173076923076923,0.3071161048689138,0.3263157894736842,0.1150442477876106,0.3846153846153846,1.0,0.0875576036866359,0.375
LSTM-AE,0.2551020408163265,0.1055276381909547,0.2135922330097087,0.2751322751322751,0.1986301369863013,0.2548262548262548,0.1490384615384615,0.2153846153846154,0.0530973451327433,0.0875576036866359,1.0,0.1129943502824858
Hybrid Ensemble,0.2705882352941176,0.6115702479338843,0.3352941176470588,0.0885416666666666,0.217391304347826,0.2803347280334728,0.3660130718954248,0.1358695652173913,0.4513888888888889,0.375,0.1129943502824858,1.0
