,Isolation Forest,LOF,One-Class SVM,Elliptic Envelope,DBSCAN,HDBSCAN,K-Means,GMM,Autoencoder,VAE,LSTM-AE,Hybrid Ensemble
Isolation Forest,1.0,0.6650040114215022,0.6983445188278719,0.6750208173333503,0.2490102415100324,0.7191243194851609,0.7059252596949485,0.3928128480813467,0.6296027288675187,0.5995779197296224,0.5873357942535888,0.4513854919410178
LOF,0.6650040114215022,1.0,0.7211207986685263,0.6556103302739308,0.1610035173274793,0.8142713918385206,0.8383303101902813,0.5366571535024244,0.810596443140745,0.8385808676735681,0.6393919918241913,0.4267846010425514
One-Class SVM,0.6983445188278719,0.7211207986685263,1.0,0.7606461702512761,0.2589973806956771,0.7685588614717833,0.803271927828589,0.4645348279231008,0.7391816597819181,0.7674481169725764,0.706529809834055,0.4631983588361809
Elliptic Envelope,0.6750208173333503,0.6556103302739308,0.7606461702512761,1.0,0.2560376184591257,0.8256082355556589,0.7236676256353143,0.6218926185196095,0.5207046849674968,0.5459966828569025,0.612066503574102,0.4278975336175973
DBSCAN,0.2490102415100324,0.1610035173274793,0.2589973806956771,0.2560376184591257,1.0,0.2678884357441725,0.2745991885184251,0.2265463919232896,0.1531051355909261,0.160310969422991,0.2479619901510557,0.3318773848973685
HDBSCAN,0.7191243194851609,0.8142713918385207,0.7685588614717833,0.8256082355556588,0.2678884357441725,1.0,0.8317595037211675,0.5660283377227244,0.671289724201914,0.7021184349557137,0.6591078391429119,0.4914005805052273
K-Means,0.7059252596949485,0.8383303101902813,0.803271927828589,0.7236676256353143,0.2745991885184251,0.8317595037211674,1.0,0.5473084444145018,0.7483641091308953,0.744814090659355,0.6664773343694806,0.4890682071082347
GMM,0.3928128480813467,0.5366571535024244,0.4645348279231008,0.6218926185196095,0.2265463919232895,0.5660283377227244,0.5473084444145018,1.0,0.3638716931822325,0.4191089562249858,0.4035381576564527,0.394672395198985
Autoencoder,0.6296027288675187,0.810596443140745,0.7391816597819181,0.5207046849674967,0.1531051355909261,0.671289724201914,0.7483641091308955,0.3638716931822325,1.0,0.8370332052614858,0.605427650844946,0.3858369275117344
VAE,0.5995779197296224,0.8385808676735681,0.7674481169725764,0.5459966828569025,0.160310969422991,0.7021184349557137,0.744814090659355,0.4191089562249858,0.8370332052614858,1.0,0.6943496555981316,0.3940247042061652
LSTM-AE,0.5873357942535888,0.6393919918241913,0.706529809834055,0.612066503574102,0.2479619901510557,0.659107839142912,0.6664773343694806,0.4035381576564527,0.605427650844946,0.6943496555981316,1.0,0.3953066417467123
Hybrid Ensemble,0.4513854919410178,0.4267846010425514,0.4631983588361809,0.4278975336175973,0.3318773848973686,0.4914005805052273,0.4890682071082347,0.394672395198985,0.3858369275117344,0.3940247042061651,0.3953066417467123,1.0
